"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","12","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","12"
"01/02/2020","30","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","30"
"01/03/2020","37","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","37"
"01/04/2020","33","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","33"
"01/05/2020","18","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","18"
"01/06/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"01/07/2020","20","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","20"
"01/10/2020","17","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","17"
"01/11/2020","10","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","10"
"01/12/2020","25","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","25"
"01/13/2020","26","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","26"
"01/14/2020","43","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","43"
"01/15/2020","43","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","43"
"01/16/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"01/17/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"01/18/2020","33","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","33"
"01/19/2020","38","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","38"
"01/20/2020","32","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","32"
"01/21/2020","53","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","53"
"01/22/2020","45","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","45"
"01/23/2020","42","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","42"
"01/24/2020","44","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","44"
"01/25/2020","26","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","26"
"01/26/2020","38","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","38"
"01/27/2020","38","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","38"
"01/28/2020","40","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","40"
"01/29/2020","27","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","27"
"01/30/2020","38","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","38"
"01/31/2020","54","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","54"
"02/01/2020","39","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","39"
"02/02/2020","26","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","26"
"02/03/2020","34","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","34"
"02/04/2020","24","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","24"
"02/05/2020","7","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","7"
"02/06/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"02/07/2020","25","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","25"
"02/08/2020","55","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","55"
"02/09/2020","33","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","33"
"02/10/2020","51","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","51"
"02/11/2020","35","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","35"
"02/12/2020","31","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","31"
"02/13/2020","45","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","45"
"02/14/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"02/15/2020","18","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","18"
"02/16/2020","36","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","36"
"02/17/2020","40","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","40"
"02/18/2020","30","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","30"
"02/19/2020","33","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","33"
"02/20/2020","23","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","23"
"02/21/2020","32","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","32"
"02/22/2020","42","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","42"
"02/23/2020","45","PM2.5","AGRICULTURE BUILDING","17-167-0012","AQS",".","45"
