"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2020","36","Ozone","KNI","20-177-0013","AQS","36",".","19"
"01/02/2020","31","PM2.5","KNI","20-177-0013","AQS","22",".","31"
"01/03/2020","32","Ozone","KNI","20-177-0013","AQS","32",".","28"
"01/04/2020","34","Ozone","KNI","20-177-0013","AQS","34",".","9"
"01/05/2020","35","Ozone","KNI","20-177-0013","AQS","35",".","13"
"01/06/2020","28","Ozone","KNI","20-177-0013","AQS","28",".","16"
"01/07/2020","31","Ozone","KNI","20-177-0013","AQS","31",".","10"
"01/08/2020","37","Ozone","KNI","20-177-0013","AQS","37",".","18"
"01/09/2020","36","Ozone","KNI","20-177-0013","AQS","36",".","."
"01/10/2020","27","Ozone","KNI","20-177-0013","AQS","27",".","."
"01/11/2020","26","Ozone","KNI","20-177-0013","AQS","26",".","."
"01/12/2020","25","Ozone","KNI","20-177-0013","AQS","25",".","."
"01/13/2020","19","Ozone","KNI","20-177-0013","AQS","19",".","."
"01/14/2020","19","Ozone","KNI","20-177-0013","AQS","19",".","."
"01/15/2020","59","PM2.5","KNI","20-177-0013","AQS","22",".","59"
"01/16/2020","27","PM2.5","KNI","20-177-0013","AQS","23",".","27"
"01/17/2020","25","Ozone","KNI","20-177-0013","AQS","25",".","20"
"01/18/2020","30","PM2.5","KNI","20-177-0013","AQS","30",".","30"
"01/19/2020","30","Ozone","KNI","20-177-0013","AQS","30",".","29"
"01/20/2020","43","PM2.5","KNI","20-177-0013","AQS","25",".","43"
"01/21/2020","55","PM2.5","KNI","20-177-0013","AQS","23",".","55"
"01/22/2020","28","PM2.5","KNI","20-177-0013","AQS","24",".","28"
"01/23/2020","45","PM2.5","KNI","20-177-0013","AQS","19",".","45"
"01/24/2020","62","PM2.5","KNI","20-177-0013","AQS","22",".","62"
"01/25/2020","53","PM2.5","KNI","20-177-0013","AQS","22",".","53"
"01/26/2020","54","PM2.5","KNI","20-177-0013","AQS","17",".","54"
"01/27/2020","48","PM2.5","KNI","20-177-0013","AQS","25",".","48"
"01/28/2020","55","PM2.5","KNI","20-177-0013","AQS","25",".","55"
"01/29/2020","51","PM2.5","KNI","20-177-0013","AQS","20",".","51"
"01/30/2020","44","PM2.5","KNI","20-177-0013","AQS","19","7","44"
"01/31/2020","30","PM2.5","KNI","20-177-0013","AQS","26","6","30"
"02/01/2020","32","Ozone","KNI","20-177-0013","AQS","32","6","18"
"02/02/2020","32","Ozone","KNI","20-177-0013","AQS","32","11","20"
"02/03/2020","30","PM2.5","KNI","20-177-0013","AQS","28","15","30"
"02/04/2020","29","Ozone","KNI","20-177-0013","AQS","29","7","13"
"02/05/2020","28","Ozone","KNI","20-177-0013","AQS","28","8","12"
"02/06/2020","32","Ozone","KNI","20-177-0013","AQS","32","11","18"
"02/07/2020","30","Ozone","KNI","20-177-0013","AQS","30","9","28"
"02/08/2020","40","PM2.5","KNI","20-177-0013","AQS","30","8","40"
"02/09/2020","36","PM2.5","KNI","20-177-0013","AQS","26","9","36"
"02/10/2020","38","PM2.5","KNI","20-177-0013","AQS","31","11","38"
"02/11/2020","31","Ozone","KNI","20-177-0013","AQS","31","11","25"
"02/12/2020","34","PM2.5","KNI","20-177-0013","AQS","29","8","34"
"02/13/2020","31","Ozone","KNI","20-177-0013","AQS","31","10","24"
"02/14/2020","32","Ozone","KNI","20-177-0013","AQS","32","9","28"
"02/15/2020","41","PM2.5","KNI","20-177-0013","AQS","30","9","41"
"02/16/2020","63","PM2.5","KNI","20-177-0013","AQS","31","11","63"
"02/17/2020","54","PM2.5","KNI","20-177-0013","AQS","33","13","54"
"02/18/2020","41","PM2.5","KNI","20-177-0013","AQS","32","11","41"
"02/19/2020","51","PM2.5","KNI","20-177-0013","AQS","32","13","51"
"02/20/2020","34","Ozone","KNI","20-177-0013","AQS","34","12","30"
"02/21/2020","34","Ozone","KNI","20-177-0013","AQS","34","9","32"
"02/22/2020","35","PM2.5","KNI","20-177-0013","AQS","35","13","35"
"02/23/2020","52","PM2.5","KNI","20-177-0013","AQS","34","16","52"
"02/24/2020","43","PM2.5","KNI","20-177-0013","AQS","32","8","43"
"02/25/2020","34","PM2.5","KNI","20-177-0013","AQS","34","10","34"
"02/26/2020","34","Ozone","KNI","20-177-0013","AQS","34","7","25"
"02/27/2020","33","Ozone","KNI","20-177-0013","AQS","33","2","22"
"02/28/2020","34","Ozone","KNI","20-177-0013","AQS","34","7","23"
"02/29/2020","42","Ozone","KNI","20-177-0013","AQS","42","12","30"
"03/01/2020","47","PM2.5","KNI","20-177-0013","AQS","42","19","47"
"03/02/2020","32","Ozone","KNI","20-177-0013","AQS","32","11","25"
"03/03/2020","39","Ozone","KNI","20-177-0013","AQS","39","13","24"
"03/04/2020","38","Ozone","KNI","20-177-0013","AQS","38","17","30"
"03/05/2020","38","Ozone","KNI","20-177-0013","AQS","38","18","18"
"03/06/2020","49","PM2.5","KNI","20-177-0013","AQS","38","20","49"
"03/07/2020","71","PM2.5","KNI","20-177-0013","AQS","46","28","71"
"03/08/2020","43","Ozone","KNI","20-177-0013","AQS","43","25","."
"03/09/2020","32","Ozone","KNI","20-177-0013","AQS","32","6","."
"03/10/2020","52","PM2.5","KNI","20-177-0013","AQS","19","8","52"
"03/11/2020","44","PM2.5","KNI","20-177-0013","AQS","36","8","44"
