"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2020","4","NO2","Gardiner, Pray Street School  (GPSS)","23-011-2005","AQS",".",".",".","4"
"01/02/2020","22","NO2","Gardiner, Pray Street School  (GPSS)","23-011-2005","AQS",".",".",".","22"
"01/03/2020","19","NO2","Gardiner, Pray Street School  (GPSS)","23-011-2005","AQS",".",".",".","19"
"01/04/2020","63","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","17","63","14"
"01/05/2020","3","NO2","Gardiner, Pray Street School  (GPSS)","23-011-2005","AQS",".",".",".","3"
"01/10/2020","45","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","25","45","."
"01/16/2020","19","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","5","19","."
"01/22/2020","55","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","33","55","."
"01/28/2020","8","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","0","8","."
"02/03/2020","30","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","24","30","."
"02/09/2020","38","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","12","38","."
"02/15/2020","38","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","18","38","."
"02/21/2020","46","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","20","46","."
"02/27/2020","15","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","5","15","."
"03/01/2020","32","Ozone","","23-011-2001","AQS","32",".",".","."
"03/02/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/03/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"03/04/2020","40","Ozone","","23-011-2001","AQS","40","15","15","."
"03/05/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"03/06/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"03/07/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/08/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"03/09/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/10/2020","37","Ozone","","23-011-2001","AQS","37","17","31","."
"03/11/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"03/12/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"03/13/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"03/14/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"03/15/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"03/16/2020","39","Ozone","","23-011-2001","AQS","39","5","10","."
"03/17/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"03/18/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/19/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"03/20/2020","33","Ozone","","23-011-2001","AQS","33",".",".","."
"03/21/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/22/2020","39","Ozone","","23-011-2001","AQS","39","6","21","."
"03/23/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"03/24/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"03/25/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"03/26/2020","42","Ozone","","23-011-2001","AQS","42",".",".","."
"03/27/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"03/28/2020","44","Ozone","","23-011-2001","AQS","44","7","20","."
"03/29/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"03/30/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"03/31/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"04/01/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"04/02/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"04/03/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"04/04/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"04/05/2020","33","Ozone","","23-011-2001","AQS","33",".",".","."
"04/06/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"04/07/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"04/08/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"04/09/2020","36","Ozone","","23-011-2001","AQS","36","8","18","."
"04/10/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"04/11/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"04/12/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"04/13/2020","43","Ozone","","23-011-2001","AQS","43",".",".","."
"04/14/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"04/15/2020","41","Ozone","","23-011-2001","AQS","41","6","15","."
"04/16/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"04/17/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"04/18/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"04/19/2020","47","Ozone","","23-011-2001","AQS","47",".",".","."
"04/20/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"04/21/2020","40","Ozone","","23-011-2001","AQS","40","18","20","."
"04/22/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"04/23/2020","45","Ozone","","23-011-2001","AQS","45",".",".","."
"04/24/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"04/25/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"04/26/2020","43","Ozone","","23-011-2001","AQS","43",".",".","."
"04/27/2020","38","Ozone","","23-011-2001","AQS","38","4","18","."
"04/28/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"04/29/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"04/30/2020","34","Ozone","","23-011-2001","AQS","34",".",".","."
"05/01/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"05/02/2020","42","Ozone","","23-011-2001","AQS","42",".",".","."
"05/03/2020","45","Ozone","","23-011-2001","AQS","45","19","35","."
"05/04/2020","30","Ozone","","23-011-2001","AQS","30",".",".","."
"05/05/2020","29","Ozone","","23-011-2001","AQS","29",".",".","."
"05/06/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"05/07/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"05/08/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"05/09/2020","33","Ozone","","23-011-2001","AQS","33","5","10","."
"05/10/2020","33","Ozone","","23-011-2001","AQS","33",".",".","."
"05/11/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"05/12/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"05/13/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"05/14/2020","46","Ozone","","23-011-2001","AQS","46",".",".","."
"05/15/2020","45","Ozone","","23-011-2001","AQS","45","13","33","."
"05/16/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"05/17/2020","41","Ozone","","23-011-2001","AQS","41",".",".","."
"05/18/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"05/19/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"05/20/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"05/21/2020","49","Ozone","","23-011-2001","AQS","49","12","22","."
"05/22/2020","48","Ozone","","23-011-2001","AQS","48",".",".","."
"05/23/2020","38","Ozone","","23-011-2001","AQS","38",".",".","."
"05/24/2020","32","Ozone","","23-011-2001","AQS","32",".",".","."
"05/25/2020","27","Ozone","","23-011-2001","AQS","27",".",".","."
"05/26/2020","24","Ozone","","23-011-2001","AQS","24",".",".","."
"05/27/2020","38","Ozone","","23-011-2001","AQS","38","9","25","."
"05/28/2020","28","Ozone","","23-011-2001","AQS","28",".",".","."
"05/29/2020","27","Ozone","","23-011-2001","AQS","27",".",".","."
"05/30/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"05/31/2020","30","Ozone","","23-011-2001","AQS","30",".",".","."
"06/01/2020","31","Ozone","","23-011-2001","AQS","31",".",".","."
"06/02/2020","31","Ozone","","23-011-2001","AQS","31","5","10","."
"06/03/2020","29","Ozone","","23-011-2001","AQS","29",".",".","."
"06/04/2020","44","Ozone","","23-011-2001","AQS","44",".",".","."
"06/05/2020","47","Ozone","","23-011-2001","AQS","47",".",".","."
"06/06/2020","36","Ozone","","23-011-2001","AQS","36",".",".","."
"06/07/2020","18","Ozone","","23-011-2001","AQS","18",".",".","."
"06/08/2020","29","Ozone","","23-011-2001","AQS","29",".",".","."
"06/09/2020","31","Ozone","","23-011-2001","AQS","31",".",".","."
"06/10/2020","30","Ozone","","23-011-2001","AQS","30",".",".","."
"06/11/2020","30","Ozone","","23-011-2001","AQS","30",".",".","."
"06/12/2020","37","Ozone","","23-011-2001","AQS","37",".",".","."
"06/13/2020","23","Ozone","","23-011-2001","AQS","23",".",".","."
"06/14/2020","20","Ozone","","23-011-2001","AQS","20","6","12","."
"06/15/2020","25","Ozone","","23-011-2001","AQS","25",".",".","."
"06/16/2020","32","Ozone","","23-011-2001","AQS","32",".",".","."
"06/17/2020","35","Ozone","","23-011-2001","AQS","35",".",".","."
"06/18/2020","47","Ozone","","23-011-2001","AQS","47",".",".","."
"06/19/2020","40","Ozone","","23-011-2001","AQS","40",".",".","."
"06/20/2020","43","Ozone","","23-011-2001","AQS","43","15","39","."
"06/21/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"06/22/2020","26","Ozone","","23-011-2001","AQS","26",".",".","."
"06/23/2020","31","Ozone","","23-011-2001","AQS","31",".",".","."
"06/24/2020","30","Ozone","","23-011-2001","AQS","30",".",".","."
"06/25/2020","43","Ozone","","23-011-2001","AQS","43",".",".","."
"06/26/2020","40","Ozone","","23-011-2001","AQS","40","13","28","."
"06/27/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"06/28/2020","47","Ozone","","23-011-2001","AQS","47",".",".","."
"06/29/2020","33","Ozone","","23-011-2001","AQS","33",".",".","."
"06/30/2020","18","Ozone","","23-011-2001","AQS","18",".",".","."
"07/01/2020","22","Ozone","","23-011-2001","AQS","22",".",".","."
"07/02/2020","30","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","11","30","."
"07/03/2020","20","Ozone","","23-011-2001","AQS","20",".",".","."
"07/04/2020","21","Ozone","","23-011-2001","AQS","21",".",".","."
"07/05/2020","19","Ozone","","23-011-2001","AQS","19",".",".","."
"07/06/2020","21","Ozone","","23-011-2001","AQS","21",".",".","."
"07/07/2020","24","Ozone","","23-011-2001","AQS","24",".",".","."
"07/08/2020","32","Ozone","","23-011-2001","AQS","32","11","25","."
"07/14/2020","17","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","6","17","."
"07/20/2020","42","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS",".","14","42","."
"07/24/2020","24","Ozone","","23-011-2001","AQS","24",".",".","."
"07/25/2020","28","Ozone","","23-011-2001","AQS","28",".",".","."
"07/26/2020","37","PM2.5","Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)","23-011-0016","AQS","31","12","37","."
"07/27/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
"07/28/2020","31","Ozone","","23-011-2001","AQS","31",".",".","."
"07/29/2020","39","Ozone","","23-011-2001","AQS","39",".",".","."
