"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","31","Ozone","HANNOVER","38-065-0002","AQS","2","31","7","13","13"
"01/02/2020","47","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","31","12","47","26"
"01/03/2020","33","Ozone","HANNOVER","38-065-0002","AQS","3","33","6","17","20"
"01/04/2020","32","Ozone","HANNOVER","38-065-0002","AQS","3","32","6","14","18"
"01/05/2020","32","Ozone","HANNOVER","38-065-0002","AQS","2","32","6","10","6"
"01/06/2020","33","Ozone","HANNOVER","38-065-0002","AQS","5","33","8","10","26"
"01/07/2020","31","Ozone","HANNOVER","38-065-0002","AQS","3","31","15","16","21"
"01/08/2020","32","Ozone","HANNOVER","38-065-0002","AQS","3","32","13","14","6"
"01/09/2020","36","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","27","18","36","14"
"01/10/2020","36","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","27","17","36","19"
"01/11/2020","36","Ozone","HANNOVER","38-065-0002","AQS","3","36","20","18","6"
"01/12/2020","34","Ozone","HANNOVER","38-065-0002","AQS","3","34","6","19","6"
"01/13/2020","48","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","24","15","48","13"
"01/14/2020","30","Ozone","HANNOVER","38-065-0002","AQS","3","30","10","20","8"
"01/15/2020","31","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","5","27","15","31","30"
"01/16/2020","38","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","6","30","14","38","38"
"01/17/2020","41","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","5","26","28","41","8"
"01/18/2020","31","PM2.5","HANNOVER","38-065-0002","AQS","5","28","19","31","9"
"01/19/2020","35","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","5","28","11","35","24"
"01/20/2020","42","PM2.5","HANNOVER","38-065-0002","AQS","6","31","13","42","35"
"01/21/2020","31","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","5","31","13","31","26"
"01/22/2020","48","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","5","30","15","48","20"
"01/23/2020","32","Ozone","HANNOVER","38-065-0002","AQS","2","32","6","25","14"
"01/24/2020","31","Ozone","HANNOVER","38-065-0002","AQS","2","31","6","25","6"
"01/25/2020","29","Ozone","HANNOVER","38-065-0002","AQS","2","29","3","10","15"
"01/26/2020","42","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","28","12","42","18"
"01/27/2020","56","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","28","20","56","12"
"01/28/2020","35","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","27","11","35","21"
"01/29/2020","55","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","25","17","55","21"
"01/30/2020","35","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","32","9","35","12"
"01/31/2020","34","Ozone","HANNOVER","38-065-0002","AQS","3","34","12","31","25"
"02/01/2020","35","Ozone","HANNOVER","38-065-0002","AQS","2","35","11","10","12"
"02/02/2020","34","Ozone","HANNOVER","38-065-0002","AQS","2","34","11","14","8"
"02/03/2020","32","Ozone","HANNOVER","38-065-0002","AQS","2","32","8","13","12"
"02/04/2020","30","Ozone","HANNOVER","38-065-0002","AQS","2","30","12","22","16"
"02/05/2020","31","Ozone","HANNOVER","38-065-0002","AQS","2","31","9","13","16"
"02/06/2020","30","Ozone","HANNOVER","38-065-0002","AQS","3","30","11","23","19"
"02/07/2020","30","Ozone","HANNOVER","38-065-0002","AQS","2","30","21","20","14"
"02/08/2020","33","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","29","11","33","20"
"02/09/2020","44","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","32","15","44","7"
"02/10/2020","31","Ozone","HANNOVER","38-065-0002","AQS","2","31","13","28","8"
"02/11/2020","37","Ozone","HANNOVER","38-065-0002","AQS","2","37","12","18","11"
"02/12/2020","31","Ozone","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","31","16","21","8"
"02/13/2020","33","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","32","16","33","20"
"02/14/2020","34","Ozone","HANNOVER","38-065-0002","AQS","2","34","11","23","14"
"02/15/2020","32","Ozone","HANNOVER","38-065-0002","AQS","2","32","10","28","8"
"02/16/2020","33","Ozone","HANNOVER","38-065-0002","AQS","2","33","8","21","14"
"02/17/2020","45","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","31","14","45","11"
"02/18/2020","35","Ozone","HANNOVER","38-065-0002","AQS","2","35","16","24","12"
"02/19/2020","36","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","36","18","36","21"
"02/20/2020","36","Ozone","HANNOVER","38-065-0002","AQS","3","36","13","33","25"
"02/21/2020","39","Ozone","HANNOVER","38-065-0002","AQS","3","39","17","23","20"
"02/22/2020","37","Ozone","HANNOVER","38-065-0002","AQS","3","37","14","20","13"
"02/23/2020","37","Ozone","HANNOVER","38-065-0002","AQS","2","37","11","20","16"
"02/24/2020","35","Ozone","HANNOVER","38-065-0002","AQS","2","35","6","25","8"
"02/25/2020","32","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","32","12","32","10"
"02/26/2020","58","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","31","19","58","8"
"02/27/2020","47","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","34","14","47","21"
"02/28/2020","36","Ozone","HANNOVER","38-065-0002","AQS","2","36","11","32","12"
"02/29/2020","35","Ozone","HANNOVER","38-065-0002","AQS","2","35","8","17","10"
"03/01/2020","34","Ozone","HANNOVER","38-065-0002","AQS","2","34","13","23","8"
"03/02/2020","35","Ozone","HANNOVER","38-065-0002","AQS","2","35","13","19","10"
"03/03/2020","36","Ozone","HANNOVER","38-065-0002","AQS","2","36","9","14","24"
"03/04/2020","36","Ozone","HANNOVER","38-065-0002","AQS","2","36","9","15","12"
"03/05/2020","36","Ozone","HANNOVER","38-065-0002","AQS","2","36","10","28","10"
"03/06/2020","30","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","30","13","30","4"
"03/07/2020","29","Ozone","HANNOVER","38-065-0002","AQS","2","29","16","23","7"
"03/08/2020","43","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","2","24","14","43","6"
"03/09/2020","66","PM2.5","HANNOVER","38-065-0002","AQS","2","22","19","66","7"
"03/10/2020","33","PM2.5","BISMARCK RESIDENTIAL","38-015-0003","AQS","3","28","14","33","18"
"03/11/2020","33","Ozone","HANNOVER","38-065-0002","AQS","2","33","9","16","12"
