"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2020","62","PM2.5","Harrisburg","42-043-0401","AQS","30",".","62"
"01/02/2020","77","PM2.5","Harrisburg","42-043-0401","AQS","15",".","77"
"01/03/2020","65","PM2.5","Carlisle","42-041-0101","AQS","0","19","65"
"01/04/2020","38","PM2.5","Carlisle","42-041-0101","AQS","23","7","38"
"01/05/2020","27","Ozone","Hershey","42-043-1100","AQS","27","4","24"
"01/06/2020","31","PM2.5","Carlisle","42-041-0101","AQS","25","8","31"
"01/07/2020","38","PM2.5","Harrisburg","42-043-0401","AQS","14","10","38"
"01/08/2020","34","PM2.5","Carlisle","42-041-0101","AQS","29","7","34"
"01/09/2020","27","Ozone","Harrisburg","42-043-0401","AQS","27","14","25"
"01/10/2020","55","PM2.5","Harrisburg","42-043-0401","AQS","15","19","55"
"01/11/2020","34","PM2.5","Carlisle","42-041-0101","AQS","29","15","34"
"01/12/2020","28","Ozone","Harrisburg","42-043-0401","AQS","28","4","12"
"01/13/2020","36","PM2.5","Carlisle","42-041-0101","AQS","9","13","36"
"01/14/2020","63","PM2.5","Carlisle","42-041-0101","AQS","3","17","63"
"01/15/2020","53","PM2.5","Harrisburg","42-043-0401","AQS","21","11","53"
"01/16/2020","30","Ozone","Harrisburg","42-043-0401","AQS","30","7","28"
"01/17/2020","30","Ozone","Harrisburg","42-043-0401","AQS","30",".","24"
"01/18/2020","35","PM2.5","Carlisle","42-041-0101","AQS","26","6","35"
"01/19/2020","34","PM2.5","Carlisle","42-041-0101","AQS","26","6","34"
"01/20/2020","36","Ozone","Harrisburg","42-043-0401","AQS","36","6","20"
"01/21/2020","34","Ozone","Harrisburg","42-043-0401","AQS","34","6","16"
"01/22/2020","58","PM2.5","Carlisle","42-041-0101","AQS","27","18","58"
"01/23/2020","98","PM2.5","Carlisle","42-041-0101","AQS","10","31","98"
"01/24/2020","86","PM2.5","Harrisburg","42-043-0401","AQS","30","23","86"
"01/25/2020","25","PM2.5","Harrisburg","42-043-0401","AQS","21","5","25"
"01/26/2020","22","Ozone","Harrisburg","42-043-0401","AQS","22","5","20"
"01/27/2020","24","Ozone","Harrisburg","42-043-0401","AQS","24","6","20"
"01/28/2020","33","Ozone","Harrisburg","42-043-0401","AQS","33","4","16"
"01/29/2020","34","PM2.5","Harrisburg","42-043-0401","AQS","34","6","34"
"01/30/2020","30","PM2.5","Carlisle","42-041-0101","AQS","29","11","30"
"01/31/2020","63","PM2.5","Harrisburg","42-043-0401","AQS","23","15","63"
"02/01/2020","80","PM2.5","Carlisle","42-041-0101","AQS","16","11","80"
"02/02/2020","39","PM2.5","Harrisburg","42-043-0401","AQS","27","6","39"
"02/03/2020","34","Ozone","Harrisburg","42-043-0401","AQS","34","11","28"
"02/04/2020","79","PM2.5","Harrisburg","42-043-0401","AQS","21","20","79"
"02/05/2020","27","Ozone","Harrisburg","42-043-0401","AQS","27","5","26"
"02/06/2020","57","PM2.5","Harrisburg","42-043-0401","AQS","14","5","57"
"02/07/2020","31","Ozone","Harrisburg","42-043-0401","AQS","31","4","22"
"02/08/2020","34","Ozone","Harrisburg","42-043-0401","AQS","34","7","23"
"02/09/2020","45","PM2.5","Harrisburg","42-043-0401","AQS","31","9","45"
"02/10/2020","56","PM2.5","Harrisburg","42-043-0401","AQS","25","6","56"
"02/11/2020","43","PM2.5","Carlisle","42-041-0101","AQS","28","6","43"
"02/12/2020","51","PM2.5","Carlisle","42-041-0101","AQS","23","8","51"
"02/13/2020","35","PM2.5","Carlisle","42-041-0101","AQS","32","5","35"
"02/14/2020","31","Ozone","Harrisburg","42-043-0401","AQS","31","5","17"
"02/15/2020","31","PM2.5","Carlisle","42-041-0101","AQS","30","6","31"
"02/16/2020","83","PM2.5","Harrisburg","42-043-0401","AQS","19","10","83"
"02/17/2020","57","PM2.5","Harrisburg","42-043-0401","AQS","34","13","57"
"02/18/2020","88","PM2.5","Harrisburg","42-043-0401","AQS","26","12","88"
"02/19/2020","36","Ozone","Harrisburg","42-043-0401","AQS","36","5","20"
"02/20/2020","32","Ozone","Harrisburg","42-043-0401","AQS","32","6","22"
"02/21/2020","35","Ozone","Harrisburg","42-043-0401","AQS","35","7","31"
"02/22/2020","42","PM2.5","Harrisburg","42-043-0401","AQS","39","10","42"
"02/23/2020","45","PM2.5","Harrisburg","42-043-0401","AQS","43","11","45"
"02/24/2020","60","PM2.5","Harrisburg","42-043-0401","AQS","34","16","60"
"02/25/2020","65","PM2.5","Harrisburg","42-043-0401","AQS","17","12","65"
"02/26/2020","70","PM2.5","Harrisburg","42-043-0401","AQS","27","6","70"
"02/27/2020","34","Ozone","Harrisburg","42-043-0401","AQS","34","4","15"
"02/28/2020","38","Ozone","Harrisburg","42-043-0401","AQS","38","6","36"
"02/29/2020","35","Ozone","Harrisburg","42-043-0401","AQS","35","6","24"
"03/01/2020","39","Ozone","Harrisburg","42-043-0401","AQS","39","7","32"
"03/02/2020","55","PM2.5","Harrisburg","42-043-0401","AQS","43","14","55"
"03/03/2020","55","PM2.5","Harrisburg","42-043-0401","AQS","33","9","55"
"03/04/2020","38","Ozone","Harrisburg","42-043-0401","AQS","38","7","21"
"03/05/2020","36","Ozone","Harrisburg","42-043-0401","AQS","36","7","35"
"03/06/2020","58","PM2.5","Harrisburg","42-043-0401","AQS","30","9","58"
"03/07/2020","38","Ozone","Harrisburg","42-043-0401","AQS","38","5","16"
"03/08/2020","37","Ozone","Harrisburg","42-043-0401","AQS","37","7","28"
"03/09/2020","45","Ozone","Harrisburg","42-043-0401","AQS","45","15","37"
"03/10/2020","34","PM2.5","Harrisburg","42-043-0401","AQS","32","12","34"
"03/11/2020","36","PM2.5","Carlisle","42-041-0101","AQS","27","8","36"
"03/12/2020","59","PM2.5","Harrisburg","42-043-0401","AQS","36","14","59"
"03/13/2020","42","Ozone","Harrisburg","42-043-0401","AQS","42","5","29"
"03/14/2020","38","Ozone","Harrisburg","42-043-0401","AQS","38","6","20"
"03/15/2020","34","Ozone","Harrisburg","42-043-0401","AQS","34","6","25"
"03/16/2020","41","Ozone","Harrisburg","42-043-0401","AQS","41","9","26"
"03/17/2020","38","PM2.5","Harrisburg","42-043-0401","AQS","30","9","38"
"03/18/2020","45","PM2.5","Harrisburg","42-043-0401","AQS","36","8","45"
"03/19/2020","63","PM2.5","Harrisburg","42-043-0401","AQS","23","8","63"
"03/20/2020","62","PM2.5","Harrisburg","42-043-0401","AQS","36","9","62"
"03/21/2020","35","Ozone","Harrisburg","42-043-0401","AQS","35","5","20"
"03/22/2020","39","Ozone","Harrisburg","42-043-0401","AQS","39","9","36"
"03/23/2020","31","Ozone","Harrisburg","42-043-0401","AQS","31","4","24"
