"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","32","Ozone","MathScience Innovation Center","51-087-0014","AQS",".","32","3","15","24"
"01/02/2020","36","NO2","Bryan Park","51-760-0025","AQS","2","31",".","24","36"
"01/03/2020","37","PM2.5","Bryan Park","51-760-0025","AQS","3","25",".","37","23"
"01/04/2020","24","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","24","4","18","22"
"01/05/2020","30","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","30",".","15","30"
"01/06/2020","36","NO2","Bryan Park","51-760-0025","AQS","9","31",".","28","36"
"01/07/2020","55","PM2.5","Bryan Park","51-760-0025","AQS","11","20","7","55","28"
"01/08/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","31",".","19","31"
"01/09/2020","28","NO2","Bryan Park","51-760-0025","AQS","6","27",".","25","28"
"01/10/2020","31","NO2","Bryan Park","51-760-0025","AQS","3","27","14","30","31"
"01/11/2020","32","PM2.5","MathScience Innovation Center","51-087-0014","AQS","2","30",".","32","20"
"01/12/2020","33","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","33",".","18","32"
"01/13/2020","30","PM2.5","MathScience Innovation Center","51-087-0014","AQS","6","17","10","30","20"
"01/14/2020","32","PM2.5","MathScience Innovation Center","51-087-0014","AQS","3","7",".","32","17"
"01/15/2020","33","PM2.5","MathScience Innovation Center","51-087-0014","AQS","3","11",".","33","20"
"01/16/2020","33","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","33","6","25","16"
"01/17/2020","29","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","29",".","20","22"
"01/18/2020","26","PM2.5","MathScience Innovation Center","51-087-0014","AQS","3","23",".","26","22"
"01/19/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","2","31","4","21","15"
"01/20/2020","32","Ozone","MathScience Innovation Center","51-087-0014","AQS","2","32",".","24","8"
"01/21/2020","21","PM2.5","MathScience Innovation Center","51-087-0014","AQS","2",".",".","21","19"
"01/22/2020","37","PM2.5","MathScience Innovation Center","51-087-0014","AQS","5","32","6","37","31"
"01/23/2020","52","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7","24",".","52","27"
"01/24/2020","44","PM2.5","MathScience Innovation Center","51-087-0014","AQS","6","32",".","44","18"
"01/25/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","31","3","14","24"
"01/26/2020","30","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","30",".","13","11"
"01/27/2020","31","NO2","Bryan Park","51-760-0025","AQS","6","30",".","25","31"
"01/28/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","31","6","21","29"
"01/29/2020","30","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7","28",".","30","26"
"01/30/2020","33","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7","30",".","33","25"
"01/31/2020","45","PM2.5","VDOT Chesterfield Residency Shop","51-041-0004","AQS","5","27","8","45","23"
"02/01/2020","42","PM2.5","MathScience Innovation Center","51-087-0014","AQS","6","29",".","42","17"
"02/02/2020","32","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","32",".","20","19"
"02/03/2020","33","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","33","6","18","33"
"02/04/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","31",".","30","29"
"02/05/2020","35","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7",".",".","35","19"
"02/06/2020","21","NO2","Bryan Park","51-760-0025","AQS","7","16","4","20","21"
"02/07/2020","30","Ozone","MathScience Innovation Center","51-087-0014","AQS","7","30",".","9","20"
"02/08/2020","35","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","35",".","18","29"
"02/09/2020","34","Ozone","MathScience Innovation Center","51-087-0014","AQS","7","34","6","28","25"
"02/10/2020","30","PM2.5","MathScience Innovation Center","51-087-0014","AQS","9","30",".","30","30"
"02/11/2020","31","PM2.5","MathScience Innovation Center","51-087-0014","AQS","9","19",".","31","29"
"02/12/2020","29","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","29","6","23","24"
"02/13/2020","24","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","24",".","23","23"
"02/14/2020","30","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","30",".","18","24"
"02/15/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","6","31","5","24","28"
"02/16/2020","38","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7","30",".","38","27"
"02/17/2020","40","PM2.5","MathScience Innovation Center","51-087-0014","AQS","7","37",".","40","29"
"02/18/2020","53","PM2.5","MathScience Innovation Center","51-087-0014","AQS","8","30","14","53","25"
"02/19/2020","35","NO2","Bryan Park","51-760-0025","AQS","10","31",".","23","35"
"02/20/2020","31","Ozone","MathScience Innovation Center","51-087-0014","AQS","13","31",".","30","27"
"02/21/2020","34","Ozone","MathScience Innovation Center","51-087-0014","AQS","9","34","6","25","25"
"02/22/2020","37","Ozone","MathScience Innovation Center","51-087-0014","AQS","8","37",".","34","25"
"02/23/2020","39","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","39",".","32","24"
"02/24/2020","37","PM2.5","MathScience Innovation Center","51-087-0014","AQS","3","35","12","37","18"
"02/25/2020","38","PM2.5","MathScience Innovation Center","51-087-0014","AQS",".","21",".","38","15"
"02/26/2020","37","PM2.5","MathScience Innovation Center","51-087-0014","AQS",".","27",".","37","19"
"02/27/2020","36","Ozone","MathScience Innovation Center","51-087-0014","AQS","3","36","3","22","11"
"02/28/2020","36","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","36",".","22","18"
"02/29/2020","39","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","39",".","20","23"
"03/01/2020","42","NO2","Bryan Park","51-760-0025","AQS","8","40",".","25","42"
"03/02/2020","48","Ozone","VDOT Chesterfield Residency Shop","51-041-0004","AQS","9","48",".","43","32"
"03/03/2020","40","NO2","Bryan Park","51-760-0025","AQS","8","35",".","38","40"
"03/04/2020","40","NO2","Bryan Park","51-760-0025","AQS","5","39","6","19","40"
"03/05/2020","38","Ozone","USGS Geomagnetic Center, Corbin","51-033-0001","AQS","5","38",".","24","25"
"03/06/2020","37","Ozone","Shirley Plantation","51-036-0002","AQS","5","37",".","22","28"
"03/07/2020","38","Ozone","USGS Geomagnetic Center, Corbin","51-033-0001","AQS","2","38","4","17","14"
"03/08/2020","41","Ozone","VDOT Chesterfield Residency Shop","51-041-0004","AQS","5","41",".","30","32"
"03/09/2020","46","Ozone","Turner Property, Old Church","51-085-0003","AQS","5","46",".","37","33"
"03/10/2020","39","Ozone","USGS Geomagnetic Center, Corbin","51-033-0001","AQS","5","39","13","30","25"
"03/11/2020","37","Ozone","USGS Geomagnetic Center, Corbin","51-033-0001","AQS","5","37",".","26","23"
"03/12/2020","35","Ozone","Shirley Plantation","51-036-0002","AQS","6","35",".","32","25"
"03/13/2020","40","Ozone","USGS Geomagnetic Center, Corbin","51-033-0001","AQS","6","40","9","35","19"
"03/14/2020","42","Ozone","MathScience Innovation Center","51-087-0014","AQS","5","42",".","15","15"
"03/15/2020","37","Ozone","Shirley Plantation","51-036-0002","AQS","6","37",".","25","9"
"03/16/2020","42","Ozone","Turner Property, Old Church","51-085-0003","AQS","6","42","7","27","16"
