"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","54","NO2","Globeville","08-031-0028","AQS","10","49","16","24","54"
"01/02/2020","50","NO2","Globeville","08-031-0028","AQS","7","45","24","27","50"
"01/03/2020","49","NO2","Globeville","08-031-0028","AQS","7","45","29","30","49"
"01/04/2020","49","Ozone","Kenosha Pass","08-093-0001","AQS","7","49","29","23","43"
"01/05/2020","48","Ozone","Kenosha Pass","08-093-0001","AQS","7","48","12","16","43"
"01/06/2020","48","NO2","Globeville","08-031-0028","AQS","7","46","35","25","48"
"01/07/2020","54","NO2","Globeville","08-031-0028","AQS","9","46","36","30","54"
"01/08/2020","49","NO2","Globeville","08-031-0028","AQS","10","46","43","33","49"
"01/09/2020","46","Ozone","Kenosha Pass","08-093-0001","AQS","8","46","23","21","44"
"01/10/2020","50","Ozone","Kenosha Pass","08-093-0001","AQS","8","50","23","30","45"
"01/11/2020","57","PM2.5","Globeville","08-031-0028","AQS","8","47","27","57","43"
"01/12/2020","45","Ozone","Kenosha Pass","08-093-0001","AQS","10","45","14","25","45"
"01/13/2020","56","NO2","Globeville","08-031-0028","AQS","10","48","53","44","56"
"01/14/2020","70","NO2","DENVER - CAMP","08-031-0002","AQS","17","58","63","59","70"
"01/15/2020","49","Ozone","Kenosha Pass","08-093-0001","AQS","10","49","37","33","43"
"01/16/2020","57","PM10","DENVER - CAMP","08-031-0002","AQS","9","46","57","55","43"
"01/17/2020","65","NO2","DENVER - CAMP","08-031-0002","AQS","14","48","59","55","65"
"01/18/2020","58","Ozone","Black Hawk","08-047-0003","AQS","9","58","25","30","46"
"01/19/2020","58","Ozone","Kenosha Pass","08-093-0001","AQS","10","58","29","52","54"
"01/20/2020","74","PM10","Tri County Health Dept. Bldg.","08-001-0008","AQS","16","61","74","65","55"
"01/21/2020","103","PM2.5","Globeville","08-031-0028","AQS","18","48","93","103","76"
