"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25"
"01/01/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","19"
"01/02/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","10"
"01/03/2020","35","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","34","35"
"01/04/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","17"
"01/05/2020","37","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","37","8"
"01/06/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","38","9"
"01/07/2020","35","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","35","25"
"01/08/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","38","15"
"01/09/2020","34","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","2","31","34"
"01/10/2020","54","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","37","54"
"01/11/2020","36","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","36","36"
"01/12/2020","45","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","2","32","45"
"01/13/2020","47","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","23","47"
"01/14/2020","41","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1",".","41"
"01/15/2020","57","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","37","57"
"01/16/2020","62","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","38","62"
"01/17/2020","37","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","37","36"
"01/18/2020","52","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","36","52"
"01/19/2020","45","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","39","45"
"01/20/2020","54","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","36","54"
"01/21/2020","58","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","40","58"
"01/22/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","6"
"01/23/2020","43","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","37","43"
"01/24/2020","38","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","33","38"
"01/25/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","38","24"
"01/26/2020","34","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","34","28"
"01/27/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","19"
"01/28/2020","35","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","35","28"
"01/29/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","26"
"01/30/2020","21","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1",".","21"
"01/31/2020","36","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","36","26"
"02/01/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","10"
"02/02/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","15"
"02/03/2020","37","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","37","17"
"02/04/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","31"
"02/05/2020","36","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","36","8"
"02/06/2020","37","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","37","13"
"02/07/2020","36","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","36","14"
"02/08/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","16"
"02/09/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","38","21"
"02/10/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","16"
"02/11/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","24"
"02/12/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","38","18"
"02/13/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","43","28"
"02/14/2020","39","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","39","18"
"02/15/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","13"
"02/16/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","20"
"02/17/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","15"
"02/18/2020","28","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","28","20"
"02/19/2020","39","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","39","39"
"02/20/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","41"
"02/21/2020","46","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","46","33"
"02/22/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","43","29"
"02/23/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","26"
"02/24/2020","38","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","38","10"
"02/25/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","21"
"02/26/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","19"
"02/27/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","8"
"02/28/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","41","15"
"02/29/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","44","12"
"03/01/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","14"
"03/02/2020","40","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","40","14"
"03/03/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","10"
"03/04/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","21"
"03/05/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","18"
"03/06/2020","46","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","46","22"
"03/07/2020","35","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","35","25"
"03/08/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","41","26"
"03/09/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","17"
"03/10/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","44","18"
"03/11/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","10"
"03/12/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","44","18"
"03/13/2020","36","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","36","17"
"03/14/2020","31","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","31","27"
"03/15/2020","32","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","32","30"
"03/16/2020","53","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","39","53"
"03/17/2020","64","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","64","42"
"03/18/2020","49","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","49","37"
"03/19/2020","45","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","45","38"
"03/20/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","42","41"
"03/21/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","33"
"03/22/2020","51","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","51","28"
"03/23/2020","45","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","45","31"
"03/24/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","10"
"03/25/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","25"
"03/26/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","44","13"
"03/27/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","16"
"03/28/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","13"
"03/29/2020","42","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","42","19"
"03/30/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","15"
"03/31/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","15"
"04/01/2020","38","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","36","38"
"04/02/2020","37","PM2.5","ROSSITER PUMP HOUSE","30-049-0026","AQS","1","36","37"
"04/03/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","18"
"04/04/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","44","13"
"04/05/2020","43","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","43","18"
"04/06/2020","37","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","37","19"
"04/07/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","21"
"04/08/2020","45","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","45","28"
"04/09/2020","46","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","46","24"
"04/10/2020","41","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","41","27"
"04/11/2020","44","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","2","44","29"
"04/12/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","20"
"04/13/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","26"
"04/14/2020","47","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","47","26"
"04/15/2020","49","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","49","21"
"04/16/2020","48","Ozone","NCORE - Sieben Flats","30-049-0004","AQS","1","48","18"
