"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","14","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","14"
"01/02/2020","16","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","16"
"01/03/2020","14","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","14"
"01/04/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"01/05/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"01/06/2020","12","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","12"
"01/07/2020","10","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","10"
"01/08/2020","22","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","22"
"01/09/2020","23","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","23"
"01/10/2020","14","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","14"
"01/11/2020","15","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","15"
"01/12/2020","11","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","11"
"01/13/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"01/14/2020","12","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","12"
"01/15/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"01/16/2020","21","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","21"
"01/17/2020","16","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","16"
"01/18/2020","16","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","16"
"01/19/2020","42","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","42"
"01/20/2020","75","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","75"
"01/21/2020","21","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","21"
"01/22/2020","9","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","9"
"01/23/2020","10","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","10"
"01/24/2020","16","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","16"
"01/25/2020","19","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","19"
"01/26/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"01/27/2020","12","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","12"
"01/28/2020","10","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","10"
"01/29/2020","16","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","16"
"01/30/2020","21","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","21"
"01/31/2020","12","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","12"
"02/01/2020","13","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","13"
"02/02/2020","34","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","34"
"02/03/2020","28","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","28"
"02/04/2020","20","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","20"
"02/05/2020","11","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","11"
"02/06/2020","8","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","8"
"02/07/2020","9","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","9"
"02/08/2020","21","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","21"
"02/09/2020","54","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","54"
"02/10/2020","58","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","58"
"02/11/2020","51","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","51"
"02/12/2020","50","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","50"
"02/13/2020","37","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","37"
"02/14/2020","14","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","14"
"02/15/2020","12","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","12"
"02/16/2020","15","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","15"
"02/17/2020","28","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","28"
"02/18/2020","29","PM2.5","Salem - State Hospital","41-047-0041","AQS",".","29"
