"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","40","Ozone","Herriman #3","49-035-3013","AQS","2","40","12","37","32"
"01/02/2020","37","NO2","Copper View","49-035-2005","AQS","6","34","15","20","37"
"01/03/2020","38","NO2","Utah Technical Center","49-035-3015","AQS","6","33","21","27","38"
"01/04/2020","50","PM2.5","Near Road","49-035-4002","AQS","7","38","19","50","36"
"01/05/2020","59","PM2.5","ROSE PARK","49-035-3010","AQS","7","28","26","59","38"
"01/06/2020","39","NO2","Hawthorne","49-035-3006","AQS","7","36","22","29","39"
"01/07/2020","41","NO2","Hawthorne","49-035-3006","AQS","5","38","22","24","41"
"01/08/2020","39","NO2","Hawthorne","49-035-3006","AQS","5","35","17","36","39"
"01/09/2020","35","Ozone","Erda","49-045-0004","AQS","2","35","14","34","32"
"01/10/2020","38","Ozone","Herriman #3","49-035-3013","AQS","2","38","13","14","38"
"01/11/2020","38","Ozone","Herriman #3","49-035-3013","AQS","2","38","18","21","35"
"01/12/2020","38","Ozone","Herriman #3","49-035-3013","AQS","2","38","7","20","36"
"01/13/2020","42","NO2","Hawthorne","49-035-3006","AQS","2","38","12","20","42"
"01/14/2020","42","NO2","Copper View","49-035-2005","AQS","3","40","14","27","42"
"01/15/2020","49","NO2","ROSE PARK","49-035-3010","AQS","8","40","27","43","49"
"01/16/2020","53","PM2.5","Utah Technical Center","49-035-3015","AQS","7","43","32","53","43"
"01/17/2020","41","Ozone","Herriman #3","49-035-3013","AQS","3","41","18","20","41"
"01/18/2020","42","NO2","Hawthorne","49-035-3006","AQS","6","36","21","34","42"
"01/19/2020","59","PM2.5","Near Road","49-035-4002","AQS","8","31","25","59","44"
"01/20/2020","89","PM2.5","Hawthorne","49-035-3006","AQS","13","38","54","89","63"
"01/21/2020","87","PM2.5","Erda","49-045-0004","AQS","5","37","34","87","43"
"01/22/2020","40","NO2","Hawthorne","49-035-3006","AQS","7","27","16","39","40"
"01/23/2020","58","PM2.5","Near Road","49-035-4002","AQS","5","29","25","58","41"
"01/24/2020","54","PM2.5","Near Road","49-035-4002","AQS","7","31","24","54","39"
"01/25/2020","69","PM2.5","ROSE PARK","49-035-3010","AQS","6","30","22","69","32"
"01/26/2020","55","PM2.5","Hawthorne","49-035-3006","AQS","3","32","19","55","27"
"01/27/2020","37","Ozone","Erda","49-045-0004","AQS","3","37","13","23","37"
"01/28/2020","35","Ozone","Herriman #3","49-035-3013","AQS","3","35","19","22","35"
"01/29/2020","35","Ozone","Herriman #3","49-035-3013","AQS","2","35","7","21","33"
"01/30/2020","38","PM2.5","Near Road","49-035-4002","AQS","2","34","14","38","38"
"01/31/2020","52","PM2.5","Near Road","49-035-4002","AQS","5","31","30","52","42"
"02/01/2020","42","PM2.5","ROSE PARK","49-035-3010","AQS","6","37","25","42","36"
"02/02/2020","48","PM2.5","Erda","49-045-0004","AQS","6","45","16","48","37"
"02/03/2020","41","NO2","Utah Technical Center","49-035-3015","AQS","1","39","5","11","41"
"02/04/2020","52","NO2","ROSE PARK","49-035-3010","AQS","8","38","17","35","52"
"02/05/2020","44","NO2","Copper View","49-035-2005","AQS","2","37","19","34","44"
"02/06/2020","45","PM2.5","Hawthorne","49-035-3006","AQS","8","30","18","45","43"
"02/07/2020","40","NO2","ROSE PARK","49-035-3010","AQS","11","31","19","37","40"
"02/08/2020","39","Ozone","Herriman #3","49-035-3013","AQS","9","39","9","14","36"
"02/09/2020","38","Ozone","Herriman #3","49-035-3013","AQS","2","38","8","15","37"
"02/10/2020","42","NO2","ROSE PARK","49-035-3010","AQS","7","32","19","37","42"
"02/11/2020","42","PM2.5","Near Road","49-035-4002","AQS","8","40","23","42","41"
"02/12/2020","43","PM2.5","Near Road","49-035-4002","AQS","3","36","26","43","42"
"02/13/2020","43","NO2","Utah Technical Center","49-035-3015","AQS","5","40","31","36","43"
"02/14/2020","42","NO2","Hawthorne","49-035-3006","AQS","3","39","23","31","42"
"02/15/2020","38","NO2","Hawthorne","49-035-3006","AQS","3","34","17","36","38"
"02/16/2020","44","PM2.5","Near Road","49-035-4002","AQS","2","31","12","44","40"
"02/17/2020","42","Ozone","Erda","49-045-0004","AQS","2","42","6","16","37"
"02/18/2020","40","Ozone","Herriman #3","49-035-3013","AQS","3","40","17","29","39"
"02/19/2020","42","Ozone","Hawthorne","49-035-3006","AQS","6","42","19","35","42"
"02/20/2020","51","NO2","ROSE PARK","49-035-3010","AQS","9","39","26","43","51"
"02/21/2020","66","PM2.5","Near Road","49-035-4002","AQS","10","36","41","66","51"
"02/22/2020","68","PM2.5","Near Road","49-035-4002","AQS","11","36","40","68","53"
"02/23/2020","48","NO2","Hawthorne","49-035-3006","AQS","5","42","20","38","48"
"02/24/2020","39","Ozone","Erda","49-045-0004","AQS","1","39","14","11","21"
"02/25/2020","42","NO2","Copper View","49-035-2005","AQS","6","39","19","21","42"
"02/26/2020","42","NO2","Copper View","49-035-2005","AQS","3","38","27","38","42"
"02/27/2020","51","PM2.5","Near Road","49-035-4002","AQS","7","36","37","51","44"
"02/28/2020","43","Ozone","Herriman #3","49-035-3013","AQS","3","43","33","38","42"
"02/29/2020","40","Ozone","Herriman #3","49-035-3013","AQS","2","40","24","18","35"
"03/01/2020","43","Ozone","Herriman #3","49-035-3013","AQS","0","43","6","18","29"
