"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"01/02/2020","14","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","14"
"01/03/2020","10","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","10"
"01/04/2020","10","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","10"
"01/05/2020","10","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","10"
"01/06/2020","3","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","3"
"01/07/2020","5","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","5"
"01/08/2020","14","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","14"
"01/09/2020","26","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","26"
"01/10/2020","8","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","8"
"01/11/2020","13","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","13"
"01/12/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"01/13/2020","19","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","19"
"01/14/2020","17","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","17"
"01/15/2020","20","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","20"
"01/16/2020","15","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","15"
"01/17/2020","33","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","33"
"01/18/2020","17","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","17"
"01/19/2020","23","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","23"
"01/20/2020","39","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","39"
"01/21/2020","15","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","15"
"01/22/2020","7","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","7"
"01/23/2020","6","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","6"
"01/24/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"01/25/2020","20","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","20"
"01/26/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"01/27/2020","13","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","13"
"01/28/2020","9","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","9"
"01/29/2020","12","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","12"
"01/30/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"01/31/2020","6","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","6"
"02/01/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"02/02/2020","25","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","25"
"02/03/2020","27","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","27"
"02/04/2020","21","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","21"
"02/05/2020","7","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","7"
"02/06/2020","4","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","4"
"02/07/2020","6","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","6"
"02/08/2020","29","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","29"
"02/09/2020","45","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","45"
"02/10/2020","46","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","46"
"02/11/2020","24","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","24"
"02/12/2020","18","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","18"
"02/13/2020","21","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","21"
"02/14/2020","10","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","10"
"02/15/2020","8","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","8"
"02/16/2020","11","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","11"
"02/17/2020","30","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","30"
"02/18/2020","43","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","43"
"02/19/2020","53","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","53"
"02/20/2020","57","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","57"
"02/21/2020","37","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","37"
"02/22/2020","22","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","22"
"02/23/2020","17","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","17"
"02/24/2020","25","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","25"
"02/25/2020","37","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","37"
"02/26/2020","25","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","25"
"02/27/2020","25","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","25"
"02/28/2020","19","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","19"
"02/29/2020","17","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","17"
"03/01/2020","25","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","25"
"03/02/2020","12","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","12"
"03/03/2020","6","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","6"
"03/04/2020","26","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","26"
"03/05/2020","20","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","20"
"03/06/2020","17","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","17"
"03/07/2020","21","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","21"
"03/08/2020","20","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","20"
"03/09/2020","35","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","35"
"03/10/2020","16","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","16"
"03/11/2020","16","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","16"
"03/12/2020","23","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","23"
"03/13/2020","14","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","14"
"03/14/2020","13","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","13"
"03/15/2020","13","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","13"
"03/16/2020","22","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","22"
"03/17/2020","37","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","37"
"03/18/2020","44","PM2.5","LACEY - COLLEGE ST","53-067-0013","AQS",".","44"
