"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","56","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","9","30","15","56","26"
"01/02/2020","63","PM2.5","PARR","05-119-0007","AQS","6","23",".","63","22"
"01/03/2020","36","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","6","19",".","36","8"
"01/04/2020","32","Ozone","PARR","05-119-0007","AQS","7","32","5","31","29"
"01/05/2020","48","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","8","32",".","48","25"
"01/06/2020","43","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","7","33",".","43","23"
"01/07/2020","36","NO2","PARR","05-119-0007","AQS","5","33","8","35","36"
"01/08/2020","49","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","6","38",".","49","29"
"01/09/2020","32","Ozone","NLR AIRPORT","05-119-1002","AQS","3","32",".","30","16"
"01/10/2020","48","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","31","13","48","10"
"01/11/2020","30","Ozone","PARR","05-119-0007","AQS","2","30",".","14","2"
"01/12/2020","22","Ozone","PARR","05-119-0007","AQS","2","22",".","20","8"
"01/13/2020","38","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","6","19","9","38","18"
"01/14/2020","35","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","5","18",".","35","20"
"01/15/2020","46","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","6","19",".","46","19"
"01/16/2020","28","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","5","26","9","28","16"
"01/17/2020","25","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","22",".","25","12"
"01/18/2020","33","Ozone","PARR","05-119-0007","AQS","3","33",".","23","7"
"01/19/2020","34","Ozone","PARR","05-119-0007","AQS","3","34","3","18","24"
"01/20/2020","31","Ozone","NLR AIRPORT","05-119-1002","AQS","3","31",".","26","19"
"01/21/2020","35","PM2.5","PARR","05-119-0007","AQS","3","29",".","35","12"
"01/22/2020","52","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","26","15","52","13"
"01/23/2020","28","PM2.5","PARR","05-119-0007","AQS","3","25",".","28","25"
"01/24/2020","24","Ozone","PARR","05-119-0007","AQS","3","24",".","19","17"
"01/25/2020","34","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","29","6","34","22"
"01/26/2020","40","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","29",".","40","18"
"01/27/2020","33","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","5","22",".","33","20"
"01/28/2020","57","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","7","12","17","57","17"
"01/29/2020","31","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","14",".","31","15"
"01/30/2020","51","PM2.5","PARR","05-119-0007","AQS","3","14",".","51","15"
"01/31/2020","43","PM2.5","DOYLE SPRINGS ROAD","05-119-1008","AQS","3","18","10","43","12"
"02/01/2020","31","Ozone","PARR","05-119-0007","AQS","5","31",".","27","29"
"02/02/2020","39","Ozone","PARR","05-119-0007","AQS","6","39",".","28","24"
"02/03/2020","36","Ozone","NLR AIRPORT","05-119-1002","AQS","5","36","9","33","20"
"02/04/2020","26","Ozone","PARR","05-119-0007","AQS","3","26",".","19","17"
"02/05/2020","19","Ozone","NLR AIRPORT","05-119-1002","AQS","2","19",".","9","6"
"02/06/2020","21","Ozone","PARR","05-119-0007","AQS","2","21","6","20","5"
