"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25"
"01/01/2020","63","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","33","63"
"01/02/2020","44","Ozone","St. Marks Wildlife Refuge","12-129-0001","AQS","2","44","34"
"01/03/2020","49","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","27","49"
"01/04/2020","32","Ozone","Tallahassee Community College","12-073-0012","AQS","1","32","19"
"01/05/2020","31","Ozone","St. Marks Wildlife Refuge","12-129-0001","AQS","1","31","29"
"01/06/2020","60","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","37","60"
"01/07/2020","46","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","38","46"
"01/08/2020","43","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","36","43"
"01/09/2020","41","PM2.5","Tallahassee Community College","12-073-0012","AQS",".","38","41"
"01/10/2020","48","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS",".","32","48"
"01/11/2020","51","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS",".","29","51"
"01/12/2020","35","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS",".","22","35"
"01/13/2020","26","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS",".","26","26"
"01/14/2020","31","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","31","31"
"01/15/2020","27","Ozone","St. Marks Wildlife Refuge","12-129-0001","AQS","2","27","17"
"01/16/2020","28","Ozone","Tallahassee Community College","12-073-0012","AQS","2","28","24"
"01/17/2020","39","Ozone","Tallahassee Community College","12-073-0012","AQS","2","39","30"
"01/18/2020","36","Ozone","Tallahassee Community College","12-073-0012","AQS","2","36","32"
"01/19/2020","31","Ozone","St. Marks Wildlife Refuge","12-129-0001","AQS","1","31","15"
"01/20/2020","46","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","32","46"
"01/21/2020","42","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","33","42"
"01/22/2020","51","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","38","51"
"01/23/2020","57","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS","2","34","57"
"01/24/2020","37","PM2.5","St. Marks Wildlife Refuge","12-129-0001","AQS","2","25","37"
"01/25/2020","36","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","32","36"
"01/26/2020","40","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","31","40"
"01/27/2020","29","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","29","29"
"01/28/2020","41","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","39","41"
"01/29/2020","54","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","26","54"
"01/30/2020","46","PM2.5","Tallahassee Community College","12-073-0012","AQS","2","38","46"
"01/31/2020","32","PM2.5","Tallahassee Community College","12-073-0012","AQS","1","31","32"
