"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","25","PM2.5","IRMO","45-063-0008","AQS","1",".","6","25","19"
"01/02/2020","38","PM2.5","PARKLANE","45-079-0007","AQS","3",".","13","38","12"
"01/03/2020","28","PM2.5","IRMO","45-063-0008","AQS","0",".","11","28","6"
"01/04/2020","12","PM2.5","IRMO","45-063-0008","AQS","0",".","5","12","3"
"01/05/2020","18","PM2.5","IRMO","45-063-0008","AQS","0",".","5","18","12"
"01/06/2020","23","NO2","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","3",".","8","20","23"
"01/07/2020","34","PM2.5","PARKLANE","45-079-0007","AQS","5",".","10","34","11"
"01/08/2020","19","PM2.5","IRMO","45-063-0008","AQS","2",".","9","19","18"
"01/09/2020","29","PM2.5","IRMO","45-063-0008","AQS","3",".","19","29","10"
"01/10/2020","28","PM2.5","IRMO","45-063-0008","AQS","0",".","19","28","7"
"01/11/2020","23","PM2.5","IRMO","45-063-0008","AQS","0",".","12","23","6"
"01/12/2020","18","PM2.5","IRMO","45-063-0008","AQS","0",".","6","18","5"
"01/13/2020","13","PM2.5","IRMO","45-063-0008","AQS","1",".","6","13","."
"01/14/2020","24","PM2.5","IRMO","45-063-0008","AQS","1",".","10","24","8"
"01/15/2020","20","NO2","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1",".","10","17","20"
"01/16/2020","31","Ozone","PARKLANE","45-079-0007","AQS","0","31","7","19","6"
"01/17/2020","32","Ozone","PARKLANE","45-079-0007","AQS","0","32","6","19","4"
"01/18/2020","28","Ozone","PARKLANE","45-079-0007","AQS","0","28","11","24","6"
"01/19/2020","30","Ozone","PARKLANE","45-079-0007","AQS","0","30","5","21","5"
"01/20/2020","28","Ozone","PARKLANE","45-079-0007","AQS","0","28","6","23","3"
"01/21/2020","31","Ozone","PARKLANE","45-079-0007","AQS","0","31","7","27","4"
"01/22/2020","34","Ozone","PARKLANE","45-079-0007","AQS","0","34","8","21","3"
"01/23/2020","35","PM2.5","PARKLANE","45-079-0007","AQS","0","30","13","35","5"
"01/24/2020","31","PM2.5","IRMO","45-063-0008","AQS",".","27","11","31","8"
"01/25/2020","24","Ozone","PARKLANE","45-079-0007","AQS",".","24","5","13","6"
"01/26/2020","27","Ozone","PARKLANE","45-079-0007","AQS",".","27","6","22","18"
"01/27/2020","32","Ozone","PARKLANE","45-079-0007","AQS",".","32","6","25","17"
"01/28/2020","33","Ozone","PARKLANE","45-079-0007","AQS",".","33","9","22","29"
"01/29/2020","44","PM2.5","IRMO","45-063-0008","AQS",".","26","19","44","10"
"01/30/2020","39","PM2.5","PARKLANE","45-079-0007","AQS",".","34","14","39","4"
"01/31/2020","32","PM2.5","IRMO","45-063-0008","AQS",".","28","8","32","4"
"02/01/2020","40","PM2.5","IRMO","45-063-0008","AQS",".","27","6","40","9"
"02/02/2020","35","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","35","4","17","5"
"02/03/2020","40","Ozone","PARKLANE","45-079-0007","AQS",".","40","10","27","14"
"02/04/2020","58","PM2.5","PARKLANE","45-079-0007","AQS",".","40","14","58","10"
"02/05/2020","46","PM2.5","IRMO","45-063-0008","AQS",".","31","11","46","8"
"02/06/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","31","8","30","6"
"02/07/2020","28","Ozone","CONGAREE BLUFF","45-079-0021","AQS",".","28","5","12","."
"02/08/2020","32","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","32","7","28","14"
"02/09/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","31","7","30","13"
"02/10/2020","40","PM2.5","IRMO","45-063-0008","AQS",".","33","15","40","12"
"02/11/2020","27","PM2.5","IRMO","45-063-0008","AQS",".","26","13","27","6"
"02/12/2020","26","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","26","9","24","8"
"02/13/2020","27","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","27","7","22","6"
"02/14/2020","35","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","35","5","11","4"
"02/15/2020","34","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","34","6","26","8"
"02/16/2020","43","PM2.5","IRMO","45-063-0008","AQS",".","23","9","43","6"
"02/17/2020","34","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","34","10","33","6"
"02/18/2020","39","PM2.5","IRMO","45-063-0008","AQS","0","24","14","39","8"
"02/19/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","31","4",".","7"
"02/20/2020","29","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","29","5","15","3"
"02/21/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","33","6","26","3"
"02/22/2020","41","PM2.5","IRMO","45-063-0008","AQS","1","38","12","41","34"
"02/23/2020","57","PM2.5","IRMO","45-063-0008","AQS","3","41","13","57","18"
"02/24/2020","40","PM2.5","PARKLANE","45-079-0007","AQS","1","28","12","40","17"
"02/25/2020","27","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","27","6",".","12"
"02/26/2020","30","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","30","9","21","13"
"02/27/2020","38","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","38","5","7","10"
"02/28/2020","40","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","40","10",".","6"
"02/29/2020","39","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","39","6","20","7"
"03/01/2020","52","PM2.5","IRMO","45-063-0008","AQS","1","42","13","52","10"
"03/02/2020","44","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","44","19","38","11"
"03/03/2020","40","PM2.5","IRMO","45-063-0008","AQS","0","34","11","40","9"
"03/04/2020","29","PM2.5","PARKLANE","45-079-0007","AQS","0","27","10","29","8"
"03/05/2020","35","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","35","6","14","8"
"03/06/2020","37","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","37","7","16","4"
"03/07/2020","43","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","43","6","25","4"
"03/08/2020","53","PM2.5","IRMO","45-063-0008","AQS","1","40","11","53","10"
"03/09/2020","49","PM2.5","IRMO","45-063-0008","AQS","3","42","21","49","18"
"03/10/2020","35","Ozone","PARKLANE","45-079-0007","AQS","0","35","14","27","12"
"03/11/2020","37","Ozone","CONGAREE BLUFF","45-079-0021","AQS","0","37","11","28","17"
"03/12/2020","45","PM2.5","IRMO","45-063-0008","AQS","0","38","15","45","6"
"03/13/2020","48","PM2.5","IRMO","45-063-0008","AQS","0","34","19","48","7"
"03/14/2020","40","PM2.5","IRMO","45-063-0008","AQS","0","39","20","40","6"
"03/15/2020","61","PM2.5","IRMO","45-063-0008","AQS","0","33","22","61","4"
"03/16/2020","54","PM2.5","PARKLANE","45-079-0007","AQS","0","32","13","54","3"
"03/17/2020","65","PM2.5","PARKLANE","45-079-0007","AQS","0","28","19","65","8"
"03/18/2020","54","PM2.5","IRMO","45-063-0008","AQS","0","32","20","54","8"
"03/19/2020","53","PM2.5","PARKLANE","45-079-0007","AQS","0","39","18","53","5"
"03/20/2020","41","PM2.5","IRMO","45-063-0008","AQS","0","38","20","41","4"
"03/21/2020","39","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","39","14","37","4"
"03/22/2020","30","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","30","9","25","3"
"03/23/2020","29","PM2.5","IRMO","45-063-0008","AQS","0","25","8","29","8"
"03/24/2020","16","PM2.5","IRMO","45-063-0008","AQS","0","16","9","16","6"
"03/25/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","31","8","23","6"
"03/26/2020","34","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","34","10","19","4"
"03/27/2020","54","PM2.5","IRMO","45-063-0008","AQS","0","44","18","54","4"
"03/28/2020","58","PM2.5","IRMO","45-063-0008","AQS","0","35","20","58","7"
"03/29/2020","62","PM2.5","IRMO","45-063-0008","AQS","0","41","23","62","3"
"03/30/2020","47","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","47","14","29","4"
"03/31/2020","37","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","37","19","33","3"
"04/01/2020","38","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","38","6","15","2"
"04/02/2020","39","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","39","6","15","."
"04/03/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","12","28","."
"04/04/2020","49","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","49","12","38","."
"04/05/2020","49","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","49","13","40","."
"04/06/2020","50","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","50","19","40","."
"04/07/2020","51","PM2.5","PARKLANE","45-079-0007","AQS","0","46","23","51","."
"04/08/2020","36","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","36","14","35","."
"04/09/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","19","26","."
"04/10/2020","45","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","45","11","22","5"
"04/11/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","10","30","6"
"04/12/2020","41","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","41","12","28","5"
"04/13/2020","42","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","42","10","26","."
"04/14/2020","45","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","45","13","36","6"
"04/15/2020","42","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","42","9","30","5"
"04/16/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","9","29","6"
"04/17/2020","47","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","47","17","30","10"
"04/18/2020","44","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","44","9","25","5"
"04/19/2020","33","PM2.5","IRMO","45-063-0008","AQS","1","29","9","33","5"
"04/20/2020","43","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","43","5","16","7"
"04/21/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","11","27","13"
"04/22/2020","51","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","51","12","24","8"
"04/23/2020","40","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","40","10","25","."
"04/24/2020","37","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","37","7","20","."
"04/25/2020","41","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","41","8","27","."
"04/26/2020","43","Ozone","CONGAREE BLUFF","45-079-0021","AQS","0","43","9","15","."
"04/27/2020","44","Ozone","CONGAREE BLUFF","45-079-0021","AQS","0","44","6","18","."
"04/28/2020","61","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","2","61","19","39","."
"04/29/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","13","20","."
"04/30/2020","43","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","43","6","13","."
"05/01/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","46","6","19","."
"05/02/2020","51","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","51","9","34","."
"05/03/2020","51","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","51","11","41","."
"05/04/2020","47","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","47","13","34","."
"05/05/2020","44","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","44","14","34","."
