"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","29","NO2","Near Road Site","47-037-0040","AQS","2",".",".","22","29"
"01/02/2020","26","PM2.5","Near Road Site","47-037-0040","AQS","3",".",".","26","24"
"01/03/2020","25","NO2","Near Road Site","47-037-0040","AQS","6",".","5","24","25"
"01/04/2020","38","PM2.5","Near Road Site","47-037-0040","AQS","3",".","8","38","20"
"01/05/2020","27","NO2","Near Road Site","47-037-0040","AQS","3",".","6","26","27"
"01/06/2020","33","NO2","Near Road Site","47-037-0040","AQS","9",".","8","31","33"
"01/07/2020","30","PM2.5","Lockeland","47-037-0023","AQS","2",".","9","30","30"
"01/08/2020","42","NO2","Near Road Site","47-037-0040","AQS","7",".","14","38","42"
"01/09/2020","41","NO2","Near Road Site","47-037-0040","AQS","7",".","14","39","41"
"01/10/2020","38","PM2.5","Lockeland","47-037-0023","AQS","2",".","14","38","14"
"01/11/2020","21","PM2.5","Lockeland","47-037-0023","AQS","2",".","6","21","16"
"01/12/2020","26","PM2.5","Lockeland","47-037-0023","AQS","9",".","6","26","24"
"01/13/2020","47","PM2.5","Near Road Site","47-037-0040","AQS","11",".","10","47","23"
"01/14/2020","31","PM2.5","Lockeland","47-037-0023","AQS","3",".","9","31","21"
"01/15/2020","30","PM2.5","Near Road Site","47-037-0040","AQS","3",".","8","30","16"
"01/16/2020","32","PM2.5","Lockeland","47-037-0023","AQS","2",".","8","32","8"
"01/17/2020","25","PM2.5","Lockeland","47-037-0023","AQS","2",".","6","25","21"
"01/18/2020","23","PM2.5","Lockeland","47-037-0023","AQS","3",".","6","23","16"
"01/19/2020","24","PM2.5","Lockeland","47-037-0023","AQS","2",".","6","24","10"
"01/20/2020","33","PM2.5","Lockeland","47-037-0023","AQS","1",".","7","33","7"
"01/21/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","1",".","8","42","17"
"01/22/2020","54","PM2.5","Near Road Site","47-037-0040","AQS","7",".","15","54","45"
"01/23/2020","45","PM2.5","Near Road Site","47-037-0040","AQS","8",".","9","45","38"
"01/24/2020","24","PM2.5","Near Road Site","47-037-0040","AQS","5",".","4","24","22"
"01/25/2020","36","PM2.5","Near Road Site","47-037-0040","AQS","3",".","6","36","23"
"01/26/2020","40","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","40","24"
"01/27/2020","35","PM2.5","Near Road Site","47-037-0040","AQS","3",".","9","35","21"
"01/28/2020","69","PM2.5","Lockeland","47-037-0023","AQS","2",".","13","69","17"
"01/29/2020","55","PM2.5","Lockeland","47-037-0023","AQS","2",".","8","55","14"
"01/30/2020","48","PM2.5","Lockeland","47-037-0023","AQS","1",".","9","48","11"
"01/31/2020","57","PM2.5","Near Road Site","47-037-0040","AQS","3",".","14","57","21"
"02/01/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","42","27"
"02/02/2020","35","NO2","Near Road Site","47-037-0040","AQS","5",".","6","22","35"
"02/03/2020","32","NO2","Near Road Site","47-037-0040","AQS","3",".","13","30","32"
"02/04/2020","29","PM2.5","Lockeland","47-037-0023","AQS","3",".","8","29","25"
"02/05/2020","19","PM2.5","Near Road Site","47-037-0040","AQS","3",".","2","19","13"
"02/06/2020","20","PM2.5","Lockeland","47-037-0023","AQS","2",".","3","20","13"
"02/07/2020","33","PM2.5","Near Road Site","47-037-0040","AQS","3",".","7","33","30"
"02/08/2020","35","PM2.5","Near Road Site","47-037-0040","AQS","3",".","9","35","29"
"02/09/2020","41","PM2.5","Near Road Site","47-037-0040","AQS","2",".","8","41","25"
"02/10/2020","38","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","38","25"
"02/11/2020","29","PM2.5","Near Road Site","47-037-0040","AQS","3",".","6","29","9"
"02/12/2020","45","PM2.5","Near Road Site","47-037-0040","AQS","5",".","5","45","18"
"02/13/2020","25","PM2.5","Lockeland","47-037-0023","AQS","3",".","5","25","15"
"02/14/2020","33","PM2.5","Lockeland","47-037-0023","AQS","1",".","8","33","19"
"02/15/2020","37","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","37","30"
"02/16/2020","45","PM2.5","Lockeland","47-037-0023","AQS","7",".","13","45","36"
"02/17/2020","50","PM2.5","Near Road Site","47-037-0040","AQS","8",".","14","50","30"
"02/18/2020","32","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","32","12"
"02/19/2020","49","PM2.5","Lockeland","47-037-0023","AQS","2",".","6","49","8"
"02/20/2020","37","PM2.5","Lockeland","47-037-0023","AQS","2",".","7","37","12"
"02/21/2020","37","PM2.5","Lockeland","47-037-0023","AQS","3",".","9","37","37"
"02/22/2020","58","PM2.5","Near Road Site","47-037-0040","AQS","13",".","18","58","41"
"02/23/2020","48","PM2.5","Lockeland","47-037-0023","AQS","9",".","12","48","36"
"02/24/2020","38","PM2.5","Near Road Site","47-037-0040","AQS","5",".","6","38","25"
"02/25/2020","25","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","25","23"
"02/26/2020","31","PM2.5","Near Road Site","47-037-0040","AQS","5",".","7","31","19"
"02/27/2020","28","NO2","Near Road Site","47-037-0040","AQS","5",".","7","24","28"
"02/28/2020","33","Ozone","East Health Center","47-037-0011","AQS","5","33","7","31","25"
"02/29/2020","46","PM2.5","Lockeland","47-037-0023","AQS","5","35","9","46","41"
"03/01/2020","58","Ozone","Fairview","47-187-0106","AQS","6","58","14","53","28"
"03/02/2020","41","Ozone","Fairview","47-187-0106","AQS","5","41","9","39","22"
"03/03/2020","42","NO2","Near Road Site","47-037-0040","AQS","5","40",".","36","42"
"03/04/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","8","38",".","42","38"
"03/05/2020","43","Ozone","Fairview","47-187-0106","AQS","2","43",".","24","35"
"03/06/2020","39","Ozone","Fairview","47-187-0106","AQS","2","39",".","20","9"
"03/07/2020","41","Ozone","Percy Priest Dam","47-037-0026","AQS","7","41",".","34","40"
"03/08/2020","51","PM2.5","Near Road Site","47-037-0040","AQS","11","46",".","51","30"
"03/09/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","3","42",".","42","38"
"03/10/2020","32","Ozone","Hendersonville","47-165-0007","AQS","2","32",".","31","17"
"03/11/2020","45","PM2.5","Near Road Site","47-037-0040","AQS","5","23",".","45","23"
"03/12/2020","47","PM2.5","Near Road Site","47-037-0040","AQS","5","31",".","47","19"
"03/13/2020","35","Ozone","Cedars of Lebanon","47-189-0103","AQS","2","35",".","20","8"
"03/14/2020","32","Ozone","Hendersonville","47-165-0007","AQS","2","32",".","19","17"
"03/15/2020","32","Ozone","Hendersonville","47-165-0007","AQS","2","32",".","18","5"
"03/16/2020","30","Ozone","East Health Center","47-037-0011","AQS","3","30",".","28","21"
"03/17/2020","29","PM2.5","Near Road Site","47-037-0040","AQS","3","22",".","29","18"
"03/18/2020","51","PM2.5","Near Road Site","47-037-0040","AQS","6","24",".","51","28"
"03/19/2020","43","PM2.5","Near Road Site","47-037-0040","AQS","5","25",".","43","22"
"03/20/2020","32","PM2.5","Near Road Site","47-037-0040","AQS","3","27",".","32","16"
"03/21/2020","28","Ozone","Hendersonville","47-165-0007","AQS","1","28",".","23","8"
"03/22/2020","33","PM2.5","Near Road Site","47-037-0040","AQS","3","28",".","33","13"
"03/23/2020","28","Ozone","Fairview","47-187-0106","AQS","3","28",".","25","22"
"03/24/2020","34","PM2.5","Near Road Site","47-037-0040","AQS","3","25",".","34","19"
"03/25/2020","37","Ozone","Fairview","47-187-0106","AQS","5","37",".","34","36"
"03/26/2020","45","Ozone","Hendersonville","47-165-0007","AQS","6","45",".","40","22"
"03/27/2020","64","PM2.5","Near Road Site","47-037-0040","AQS","3","43",".","64","34"
"03/28/2020","56","PM2.5","Near Road Site","47-037-0040","AQS","3","34",".","56","13"
"03/29/2020","46","Ozone","Hendersonville","47-165-0007","AQS","3","46",".","18","27"
"03/30/2020","39","Ozone","Hendersonville","47-165-0007","AQS","3","39",".","25","32"
"03/31/2020","42","Ozone","Fairview","47-187-0106","AQS","3","42",".","19","28"
"04/01/2020","37","Ozone","Fairview","47-187-0106","AQS","2","37",".","25","30"
"04/02/2020","46","Ozone","Fairview","47-187-0106","AQS","5","46",".","40","29"
"04/03/2020","58","Ozone","Fairview","47-187-0106","AQS","7","58",".","45","26"
"04/04/2020","61","Ozone","Cedars of Lebanon","47-189-0103","AQS","3","61",".","50","31"
"04/05/2020","56","PM2.5","Near Road Site","47-037-0040","AQS","2","45",".","56","8"
"04/06/2020","61","Ozone","Hendersonville","47-165-0007","AQS","5","61",".","55","41"
"04/07/2020","58","PM2.5","Near Road Site","47-037-0040","AQS","3","42",".","58","30"
"04/08/2020","40","Ozone","Fairview","47-187-0106","AQS","2","40",".","38","26"
"04/09/2020","47","Ozone","Fairview","47-187-0106","AQS","2","47",".","20","25"
"04/10/2020","43","Ozone","Fairview","47-187-0106","AQS","2","43",".","25","37"
"04/11/2020","53","PM2.5","Near Road Site","47-037-0040","AQS","6","50",".","53","25"
"04/12/2020","39","Ozone","Fairview","47-187-0106","AQS","3","39",".","38","16"
"04/13/2020","34","Ozone","Fairview","47-187-0106","AQS","3","34",".","16","11"
"04/14/2020","40","Ozone","Hendersonville","47-165-0007","AQS","1","40",".","23","24"
"04/15/2020","47","Ozone","Fairview","47-187-0106","AQS","5","47",".","45","41"
"04/16/2020","50","Ozone","Fairview","47-187-0106","AQS","3","50",".","40","42"
"04/17/2020","58","Ozone","Fairview","47-187-0106","AQS","3","58",".","52","35"
"04/18/2020","49","PM2.5","Hendersonville","47-165-0007","AQS","3","44",".","49","28"
