"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","199","PM2.5","WEST PHOENIX","04-013-0019","AQS","34","36","103","199","32"
"01/02/2020","76","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","15","36","43","76","34"
"01/03/2020","68","PM2.5","JLG SUPERSITE","04-013-9997","AQS","15","38","41","68","40"
"01/04/2020","88","PM2.5","WEST PHOENIX","04-013-0019","AQS","20","39","44","88","40"
"01/05/2020","86","PM2.5","WEST PHOENIX","04-013-0019","AQS","24","39","36","86","40"
"01/06/2020","66","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","17","40","55","66","39"
"01/07/2020","64","PM2.5","DURANGO COMPLEX","04-013-9812","AQS","20","39","56","64","42"
"01/08/2020","63","PM10","WEST 43RD AVENUE","04-013-4009","AQS","19","41","63","56","39"
"01/09/2020","49","PM10","WEST 43RD AVENUE","04-013-4009","AQS","13","39","49","48","28"
"01/10/2020","39","Ozone","CAVE CREEK","04-013-4008","AQS","8","39","34","30","35"
"01/11/2020","65","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","14","40","44","65","36"
"01/12/2020","84","PM2.5","Thirty-Third","04-013-4020","AQS","16","43","33","84","40"
"01/13/2020","65","PM2.5","Thirty-Third","04-013-4020","AQS","16","44","56","65","45"
"01/14/2020","68","PM2.5","Thirty-Third","04-013-4020","AQS","18","43","60","68","44"
"01/15/2020","72","PM2.5","Thirty-Third","04-013-4020","AQS","17","41","64","72","43"
"01/16/2020","65","PM2.5","Thirty-Third","04-013-4020","AQS","18","40","65","65","38"
"01/17/2020","47","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","42","42","47","37"
"01/18/2020","89","PM2.5","WEST PHOENIX","04-013-0019","AQS","16","45","44","89","45"
"01/19/2020","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","24","150","43","89","39"
"01/20/2020","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","112","58","46","40"
"01/21/2020","48","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","48","16","34","28"
"01/22/2020","55","PM2.5","JLG SUPERSITE","04-013-9997","AQS","9","36","19","55","34"
"01/23/2020","77","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","77","39","72","39"
"01/24/2020","87","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","87","51","72","41"
"01/25/2020","101","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","101","37","97","39"
"01/26/2020","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","156","31","72","46"
"01/27/2020","67","PM2.5","Thirty-Third","04-013-4020","AQS","16","43","42","67","38"
"01/28/2020","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","156","44","52","41"
"01/29/2020","59","PM10","WEST 43RD AVENUE","04-013-4009","AQS","9","42","59","53","42"
"01/30/2020","151","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","151","52","38","41"
"01/31/2020","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","154","53","61","41"
"02/01/2020","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","112","51","110","43"
"02/02/2020","62","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","43","47","62","39"
"02/03/2020","169","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","169","73","43","40"
"02/04/2020","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","133","26","26","38"
"02/05/2020","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","147","46","34","39"
"02/06/2020","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","133","60","51","39"
"02/07/2020","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","154","63","64","47"
"02/08/2020","179","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","179","60","76","49"
"02/09/2020","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","147","43","46","31"
"02/10/2020","126","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","9","126","51","38","37"
"02/11/2020","119","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","119","8","22","28"
"02/12/2020","126","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","126","25","50","36"
"02/13/2020","140","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","140","38","64","45"
"02/14/2020","159","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","159","46","65","42"
"02/15/2020","185","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","185","43","70","44"
"02/16/2020","203","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","203","64","62","49"
"02/17/2020","214","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","214","74","62","47"
"02/18/2020","202","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","202","92","64","53"
"02/19/2020","206","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","206","62","61","46"
"02/20/2020","166","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","166","82","62","51"
"02/21/2020","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","112","96","60","45"
"02/22/2020","64","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","5","64","13","27","18"
"02/23/2020","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","150","20","27","30"
"02/24/2020","190","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","190","24","51","37"
"02/25/2020","185","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","7","185","35","26","35"
"02/26/2020","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","154","32","35","42"
"02/27/2020","122","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","122","58","56","48"
"02/28/2020","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","133","56","70","55"
