"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","89","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","39","23","89","21"
"01/02/2020","66","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","38","19","66","28"
"01/03/2020","80","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","43","28","80","27"
"01/04/2020","77","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","44","21","77","25"
"01/05/2020","57","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","42","14","57","21"
"01/06/2020","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","38","23","54","26"
"01/07/2020","85","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","40","19","85","20"
"01/08/2020","57","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","5","38","14","57","22"
"01/09/2020","39","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","5","37","9","39","21"
"01/10/2020","48","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","39","26","48","18"
"01/11/2020","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","40","12","63","30"
"01/12/2020","55","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","41","12","55","23"
"01/13/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","44","7","22","21"
"01/14/2020","40","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","40","8","25","22"
"01/15/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","13","38","26"
"01/16/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","10","35","12"
"01/17/2020","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","42","8","26","21"
"01/18/2020","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","41","15","45","25"
"01/19/2020","65","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","38","16","65","23"
"01/20/2020","77","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","44","23","77","20"
"01/21/2020","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","45","16","54","15"
"01/22/2020","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","8","37","13","29","30"
"01/23/2020","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","27","15","63","20"
"01/24/2020","55","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","36","16","55","17"
"01/25/2020","77","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","38","24","77","14"
"01/26/2020","36","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","35","9","36","16"
"01/27/2020","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","37","11","22","20"
"01/28/2020","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","42","13","32","25"
"01/29/2020","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","41","11","33","30"
"01/30/2020","50","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","6","36","19","50","28"
"01/31/2020","67","PM2.5","Sacramento-Bercut Drive","06-067-0015","AQS","8","31","27","67","31"
"02/01/2020","83","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","33","29","83","33"
"02/02/2020","50","PM2.5","Lincoln-2885 Moore Road","06-061-2003","AQS","13","43","13","50","27"
"02/03/2020","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","42","9","15","21"
"02/04/2020","43","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","43","19","24","24"
"02/05/2020","54","PM2.5","Auburn-Atwood","06-061-0003","AQS","6","36","21","54","34"
"02/06/2020","64","PM2.5","Auburn-Atwood","06-061-0003","AQS","7","40","30","64","37"
"02/07/2020","78","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","44","35","78","43"
"02/08/2020","58","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","44","19","58","27"
"02/09/2020","57","PM2.5","Davis-UCD Campus","06-113-0004","AQS","3","41","31","57","9"
"02/10/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","17","21","16"
"02/11/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","44","18","35","27"
"02/12/2020","65","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","45","34","65","41"
"02/13/2020","59","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6","47","22","59","30"
"02/14/2020","62","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","8","43","27","62","46"
"02/15/2020","67","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","45","28","67","28"
"02/16/2020","52","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","7","43","17","52","28"
"02/17/2020","45","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","45","19","33","19"
"02/18/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","44","24","39","37"
"02/19/2020","70","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","44","36","70","46"
"02/20/2020","60","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","44","28","60","36"
"02/21/2020","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","44","32","59","29"
"02/22/2020","51","PM2.5","Lincoln-2885 Moore Road","06-061-2003","AQS","6","45","20","51","25"
"02/23/2020","58","PM2.5","Colfax-City Hall","06-061-0004","AQS","6","40","19","58","25"
"02/24/2020","43","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","43","18","43","24"
"02/25/2020","43","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","43","17","28","28"
"02/26/2020","51","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","44","29","51","43"
"02/27/2020","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","44","38","63","48"
"02/28/2020","60","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","50","33","60","35"
"02/29/2020","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","48","17","37","8"
"03/01/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","8","19","8"
"03/02/2020","45","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","45","19","10","13"
"03/03/2020","44","Ozone","Elk Grove-Bruceville","06-067-0011","AQS","6","44","24","32","32"
"03/04/2020","58","Ozone","Auburn-Atwood","06-061-0003","AQS","7","58","31","56","43"
"03/05/2020","61","Ozone","Auburn-Atwood","06-061-0003","AQS","7","61","23","46","21"
"03/06/2020","47","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","47","19","43","15"
"03/07/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","44","7","17","10"
"03/08/2020","40","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","40","9","18","16"
"03/09/2020","45","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","45","13","34","23"
"03/10/2020","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","42","18","30","25"
"03/11/2020","44","Ozone","Colfax-City Hall","06-061-0004","AQS","5","44","15","29","25"
"03/12/2020","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","42","19","37","23"
"03/13/2020","46","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","43","27","46","21"
"03/14/2020","39","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","39","5","15","9"
"03/15/2020","40","Ozone","Colfax-City Hall","06-061-0004","AQS","2","40","3","16","8"
"03/16/2020","48","PM2.5","Colfax-City Hall","06-061-0004","AQS","3","43","17","48","17"
"03/17/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","5","20","25"
"03/18/2020","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","41","6","32","17"
"03/19/2020","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","46","8","25","28"
"03/20/2020","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","46","16","28","27"
"03/21/2020","46","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","6","45","14","46","27"
"03/22/2020","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","46","15","44","21"
"03/23/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","44","11","25","12"
"03/24/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","44","5","27","19"
"03/25/2020","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","46","5","14","16"
"03/26/2020","45","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","45","5","22","22"
"03/27/2020","45","Ozone","Sacramento-Del Paso Manor","06-067-0006","AQS","3","45","12","26","19"
"03/28/2020","47","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","47","13","42","8"
"03/29/2020","49","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","49","6","31","13"
"03/30/2020","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","44","4","30","13"
"03/31/2020","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","41","4","25","10"
