"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2020","23","PM2.5","Hilo","15-001-1006","AQS","23"
"01/02/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"01/03/2020","8","PM2.5","Pahala","15-001-2016","AQS","8"
"01/04/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"01/05/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"01/06/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"01/07/2020","23","PM2.5","Hilo","15-001-1006","AQS","23"
"01/08/2020","17","PM2.5","","15-001-3028","AQS","17"
"01/09/2020","15","PM2.5","","15-001-3028","AQS","15"
"01/10/2020","13","PM2.5","","15-001-3032","AQS","13"
"01/11/2020","10","PM2.5","","15-001-3032","AQS","10"
"01/12/2020","5","PM2.5","Mountain View 23","15-001-2023","AQS","5"
"01/13/2020","25","PM2.5","","15-001-3028","AQS","25"
"01/14/2020","13","PM2.5","Pahala","15-001-2016","AQS","13"
"01/15/2020","17","PM2.5","Kona","15-001-1012","AQS","17"
"01/16/2020","8","PM2.5","Kona","15-001-1012","AQS","8"
"01/17/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"01/18/2020","8","PM2.5","Hilo","15-001-1006","AQS","8"
"01/19/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"01/20/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"01/21/2020","19","PM2.5","Hilo","15-001-1006","AQS","19"
"01/22/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"01/23/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"01/24/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"01/25/2020","8","PM2.5","Hilo","15-001-1006","AQS","8"
"01/26/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"01/27/2020","12","PM2.5","Hilo","15-001-1006","AQS","12"
"01/28/2020","12","PM2.5","","15-001-3032","AQS","12"
"01/29/2020","12","PM2.5","","15-001-3032","AQS","12"
"01/30/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"01/31/2020","18","PM2.5","","15-001-3028","AQS","18"
"02/01/2020","19","PM2.5","Pahala","15-001-2016","AQS","19"
"02/02/2020","12","PM2.5","Pahala","15-001-2016","AQS","12"
"02/03/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"02/04/2020","14","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","14"
"02/05/2020","18","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","18"
"02/06/2020","24","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","24"
"02/07/2020","13","PM2.5","","15-001-3032","AQS","13"
"02/08/2020","11","PM2.5","Hilo","15-001-1006","AQS","11"
"02/09/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"02/10/2020","18","PM2.5","HOVE","15-001-2020","AQS","18"
"02/11/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"02/12/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"02/13/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"02/14/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"02/15/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"02/16/2020","13","PM2.5","","15-001-3028","AQS","13"
"02/17/2020","12","PM2.5","Hilo","15-001-1006","AQS","12"
"02/18/2020","12","PM2.5","","15-001-3028","AQS","12"
"02/19/2020","11","PM2.5","Kona","15-001-1012","AQS","11"
"02/20/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"02/21/2020","13","PM2.5","","15-001-3032","AQS","13"
"02/22/2020","12","PM2.5","Hilo","15-001-1006","AQS","12"
"02/23/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"02/24/2020","12","PM2.5","","15-001-3032","AQS","12"
"02/25/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"02/26/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"02/27/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"02/28/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"02/29/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"03/01/2020","12","PM2.5","Hilo","15-001-1006","AQS","12"
"03/02/2020","13","PM2.5","","15-001-3032","AQS","13"
"03/03/2020","9","PM2.5","","15-001-3032","AQS","9"
"03/04/2020","9","PM2.5","Pahala","15-001-2016","AQS","9"
"03/05/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"03/06/2020","12","PM2.5","","15-001-3028","AQS","12"
"03/07/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"03/08/2020","16","PM2.5","","15-001-3028","AQS","16"
"03/09/2020","13","PM2.5","Kona","15-001-1012","AQS","13"
"03/10/2020","8","PM2.5","Kona","15-001-1012","AQS","8"
"03/11/2020","6","PM2.5","Kona","15-001-1012","AQS","6"
"03/12/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"03/13/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"03/14/2020","11","PM2.5","Hilo","15-001-1006","AQS","11"
"03/15/2020","11","PM2.5","Hilo","15-001-1006","AQS","11"
"03/16/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"03/17/2020","19","PM2.5","","15-001-3032","AQS","19"
"03/18/2020","24","PM2.5","Kona","15-001-1012","AQS","24"
"03/19/2020","58","PM2.5","HOVE","15-001-2020","AQS","58"
"03/20/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"03/21/2020","7","PM2.5","Hilo","15-001-1006","AQS","7"
"03/22/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"03/23/2020","14","PM2.5","","15-001-3028","AQS","14"
"03/24/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"03/25/2020","13","PM2.5","","15-001-3028","AQS","13"
"03/26/2020","17","PM2.5","Hilo","15-001-1006","AQS","17"
"03/27/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"03/28/2020","11","PM2.5","","15-001-3028","AQS","11"
"03/29/2020","10","PM2.5","Kona","15-001-1012","AQS","10"
"03/30/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"03/31/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"04/01/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"04/02/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"04/03/2020","16","PM2.5","Hilo","15-001-1006","AQS","16"
"04/04/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"04/05/2020","8","PM2.5","Kona","15-001-1012","AQS","8"
"04/06/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"04/07/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"04/08/2020","9","PM2.5","Hilo","15-001-1006","AQS","9"
"04/09/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"04/10/2020","16","PM2.5","Hilo","15-001-1006","AQS","16"
"04/11/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"04/12/2020","10","PM2.5","Hilo","15-001-1006","AQS","10"
"04/13/2020","12","PM2.5","Hilo","15-001-1006","AQS","12"
"04/14/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"04/15/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"04/16/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"04/17/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"04/18/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"04/19/2020","19","PM2.5","","15-001-3032","AQS","19"
"04/20/2020","21","PM2.5","Hilo","15-001-1006","AQS","21"
"04/21/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"04/22/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"04/23/2020","19","PM2.5","Hilo","15-001-1006","AQS","19"
"04/24/2020","24","PM2.5","Hilo","15-001-1006","AQS","24"
"04/25/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"04/26/2020","15","PM2.5","","15-001-3032","AQS","15"
"04/27/2020","12","PM2.5","","15-001-3032","AQS","12"
"04/28/2020","23","PM2.5","Hilo","15-001-1006","AQS","23"
"04/29/2020","23","PM2.5","Hilo","15-001-1006","AQS","23"
"04/30/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"05/01/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"05/02/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"05/03/2020","10","PM2.5","","15-001-3032","AQS","10"
"05/04/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"05/05/2020","21","PM2.5","Hilo","15-001-1006","AQS","21"
"05/06/2020","22","PM2.5","Hilo","15-001-1006","AQS","22"
"05/07/2020","19","PM2.5","","15-001-3028","AQS","19"
"05/08/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"05/09/2020","11","PM2.5","HOVE","15-001-2020","AQS","11"
"05/10/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"05/11/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"05/12/2020","14","PM2.5","Hilo","15-001-1006","AQS","14"
"05/13/2020","17","PM2.5","Hilo","15-001-1006","AQS","17"
"05/14/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"05/15/2020","15","PM2.5","Hilo","15-001-1006","AQS","15"
"05/16/2020","20","PM2.5","Hilo","15-001-1006","AQS","20"
"05/17/2020","20","PM2.5","Kona","15-001-1012","AQS","20"
"05/18/2020","11","PM2.5","Hilo","15-001-1006","AQS","11"
"05/19/2020","13","PM2.5","Hilo","15-001-1006","AQS","13"
"05/20/2020","25","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","25"
"05/21/2020","30","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30"
"05/22/2020","21","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","21"
"05/23/2020","31","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","31"
"05/24/2020","31","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","31"
"05/25/2020","35","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","35"
"05/26/2020","20","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","20"
"05/27/2020","18","PM2.5","Hilo","15-001-1006","AQS","18"
"05/28/2020","20","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","20"
"05/29/2020","18","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","18"
"05/30/2020","13","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","13"
"05/31/2020","22","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","22"
"06/01/2020","20","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","20"
"06/02/2020","20","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","20"
"06/03/2020","26","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","26"
"06/04/2020","30","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30"
"06/05/2020","23","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","23"
"06/06/2020","30","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30"
"06/07/2020","27","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","27"
"06/08/2020","37","PM2.5","Kona","15-001-1012","AQS","37"
"06/09/2020","54","PM2.5","Kona","15-001-1012","AQS","54"
"06/10/2020","26","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","26"
"06/11/2020","30","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30"
"06/12/2020","32","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","32"
"06/13/2020","31","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","31"
"06/14/2020","30","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30"
