"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","45","Ozone","","35-049-0021","AQS","45","10"
"01/02/2020","41","Ozone","","35-049-0021","AQS","41","13"
"01/03/2020","40","Ozone","","35-049-0021","AQS","40","13"
"01/04/2020","38","Ozone","","35-049-0021","AQS","38","15"
"01/05/2020","38","Ozone","","35-049-0021","AQS","38","11"
"01/06/2020","42","Ozone","","35-049-0021","AQS","42","10"
"01/07/2020","38","Ozone","","35-049-0021","AQS","38","16"
"01/08/2020","35","Ozone","","35-049-0021","AQS","35","23"
"01/09/2020","40","Ozone","","35-049-0021","AQS","40","15"
"01/10/2020","41","Ozone","","35-049-0021","AQS","41","12"
"01/11/2020","39","Ozone","","35-049-0021","AQS","39","11"
"01/12/2020","40","Ozone","","35-049-0021","AQS","40","20"
"01/13/2020","44","Ozone","","35-049-0021","AQS","44","13"
"01/14/2020","42","Ozone","","35-049-0021","AQS","42","16"
"01/15/2020","43","Ozone","","35-049-0021","AQS","43","14"
"01/16/2020","33","Ozone","","35-049-0021","AQS","33","11"
"01/17/2020","46","Ozone","","35-049-0021","AQS","46","13"
"01/18/2020","48","Ozone","","35-049-0021","AQS","48","20"
"01/19/2020","46","Ozone","","35-049-0021","AQS","46","19"
"01/20/2020","39","Ozone","","35-049-0021","AQS","39","19"
"01/21/2020","32","Ozone","","35-049-0021","AQS","32","15"
"01/22/2020","37","Ozone","","35-049-0021","AQS","37","8"
"01/23/2020","37","Ozone","","35-049-0021","AQS","37","10"
"01/24/2020","36","Ozone","","35-049-0021","AQS","36","14"
"01/25/2020","40","Ozone","","35-049-0021","AQS","40","9"
"01/26/2020","38","Ozone","","35-049-0021","AQS","38","11"
"01/27/2020","35","Ozone","","35-049-0021","AQS","35","6"
"01/28/2020","44","Ozone","","35-049-0021","AQS","44","11"
"01/29/2020","40","Ozone","","35-049-0021","AQS","40","12"
"01/30/2020","42","Ozone","","35-049-0021","AQS","42","13"
"01/31/2020","45","Ozone","","35-049-0021","AQS","45","3"
"02/01/2020","40","Ozone","","35-049-0021","AQS","40","8"
"02/02/2020","41","Ozone","","35-049-0021","AQS","41","7"
"02/03/2020","8","PM2.5","","35-049-0021","AQS",".","8"
"02/04/2020","38","Ozone","","35-049-0021","AQS","38","7"
"02/05/2020","39","Ozone","","35-049-0021","AQS","39","15"
"02/06/2020","40","Ozone","","35-049-0021","AQS","40","14"
"02/07/2020","36","Ozone","","35-049-0021","AQS","36","2"
"02/08/2020","36","Ozone","","35-049-0021","AQS","36","1"
"02/09/2020","44","Ozone","","35-049-0021","AQS","44","6"
"02/10/2020","35","Ozone","","35-049-0021","AQS","35","3"
"02/11/2020","38","Ozone","","35-049-0021","AQS","38","6"
"02/12/2020","41","Ozone","","35-049-0021","AQS","41","10"
"02/13/2020","42","Ozone","","35-049-0021","AQS","42","6"
"02/14/2020","41","Ozone","","35-049-0021","AQS","41","10"
"02/15/2020","44","Ozone","","35-049-0021","AQS","44","5"
"02/16/2020","42","Ozone","","35-049-0021","AQS","42","1"
"02/17/2020","39","Ozone","","35-049-0021","AQS","39","5"
"02/18/2020","37","Ozone","","35-049-0021","AQS","37","21"
"02/19/2020","35","Ozone","","35-049-0021","AQS","35","26"
"02/20/2020","31","Ozone","","35-049-0021","AQS","31","12"
"02/21/2020","30","Ozone","","35-049-0021","AQS","30","16"
"02/22/2020","30","Ozone","","35-049-0021","AQS","30","17"
"02/23/2020","41","Ozone","","35-049-0021","AQS","41","5"
"02/24/2020","7","PM2.5","","35-049-0021","AQS",".","7"
"02/25/2020","42","Ozone","","35-049-0021","AQS","42","4"
"02/26/2020","41","Ozone","","35-049-0021","AQS","41","13"
"02/27/2020","43","Ozone","","35-049-0021","AQS","43","10"
"02/28/2020","41","Ozone","","35-049-0021","AQS","41","15"
"02/29/2020","44","Ozone","","35-049-0021","AQS","44","6"
"03/01/2020","44","Ozone","","35-049-0021","AQS","44","9"
"03/02/2020","44","Ozone","","35-049-0021","AQS","44","10"
