"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","8"
"01/02/2020","33","Ozone","Carson City Armory","32-510-0020","AQS","33","15"
"01/03/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","30"
"01/04/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","13"
"01/05/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","21"
"01/06/2020","28","Ozone","Carson City Armory","32-510-0020","AQS","28","27"
"01/07/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","24"
"01/08/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","12"
"01/09/2020","34","Ozone","Carson City Armory","32-510-0020","AQS","34","19"
"01/10/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","21"
"01/11/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","12"
"01/12/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","7"
"01/13/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","3"
"01/14/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","3"
"01/15/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","16"
"01/16/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","6"
"01/17/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","15"
"01/18/2020","38","PM2.5","Carson City Armory","32-510-0020","AQS","30","38"
"01/19/2020","56","PM2.5","Carson City Armory","32-510-0020","AQS","26","56"
"01/20/2020","40","PM2.5","Carson City Armory","32-510-0020","AQS","37","40"
"01/21/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","13"
"01/22/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","11"
"01/23/2020","30","PM2.5","Carson City Armory","32-510-0020","AQS","21","30"
"01/24/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","13"
"01/25/2020","33","Ozone","Carson City Armory","32-510-0020","AQS","33","17"
"01/26/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","11"
"01/27/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","3"
"01/28/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","9"
"01/29/2020","34","Ozone","Carson City Armory","32-510-0020","AQS","34","15"
"01/30/2020","31","Ozone","Carson City Armory","32-510-0020","AQS","31","10"
"01/31/2020","29","Ozone","Carson City Armory","32-510-0020","AQS","29","18"
"02/01/2020","46","Ozone","Carson City Armory","32-510-0020","AQS","46","19"
"02/02/2020","45","Ozone","Carson City Armory","32-510-0020","AQS","45","10"
"02/03/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","15"
"02/04/2020","34","Ozone","Carson City Armory","32-510-0020","AQS","34","31"
"02/05/2020","31","Ozone","Carson City Armory","32-510-0020","AQS","31","15"
"02/06/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","14"
"02/07/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","12"
"02/08/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","15"
"02/09/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","13"
"02/10/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","14"
"02/11/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","25"
"02/12/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","15"
"02/13/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","30"
"02/14/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","24"
"02/15/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","15"
"02/16/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","7"
"02/17/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","16"
"02/18/2020","10","PM2.5","Carson City Armory","32-510-0020","AQS",".","10"
"02/19/2020","14","PM2.5","Carson City Armory","32-510-0020","AQS",".","14"
"02/20/2020","19","PM2.5","Carson City Armory","32-510-0020","AQS",".","19"
"02/21/2020","20","PM2.5","Carson City Armory","32-510-0020","AQS",".","20"
"02/22/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","20"
"02/23/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","18"
"02/24/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","28"
"02/25/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","19"
"02/26/2020","36","Ozone","Carson City Armory","32-510-0020","AQS","36","19"
"02/27/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","23"
"02/28/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","14"
"02/29/2020","46","Ozone","Carson City Armory","32-510-0020","AQS","46","14"
"03/01/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","10"
"03/02/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","18"
"03/03/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","13"
"03/04/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","18"
"03/05/2020","45","Ozone","Carson City Armory","32-510-0020","AQS","45","23"
"03/06/2020","46","Ozone","Carson City Armory","32-510-0020","AQS","46","15"
"03/07/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","8"
"03/08/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","11"
"03/09/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","10"
"03/10/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","10"
"03/11/2020","38","Ozone","Carson City Armory","32-510-0020","AQS","38","9"
"03/12/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","13"
"03/13/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","16"
"03/14/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","6"
"03/15/2020","38","Ozone","Carson City Armory","32-510-0020","AQS","38","2"
"03/16/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","9"
"03/17/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","5"
"03/18/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","3"
"03/19/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","13"
"03/20/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","21"
"03/21/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","15"
"03/22/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","14"
"03/23/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","11"
"03/24/2020","45","Ozone","Carson City Armory","32-510-0020","AQS","45","4"
"03/25/2020","46","Ozone","Carson City Armory","32-510-0020","AQS","46","3"
"03/26/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","13"
"03/27/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","12"
"03/28/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","12"
"03/29/2020","47","Ozone","Carson City Armory","32-510-0020","AQS","47","10"
"03/30/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","8"
"03/31/2020","45","Ozone","Carson City Armory","32-510-0020","AQS","45","7"
"04/01/2020","54","Ozone","Carson City Armory","32-510-0020","AQS","54","9"
"04/02/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","13"
"04/03/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","13"
"04/04/2020","41","Ozone","Carson City Armory","32-510-0020","AQS","41","5"
"04/05/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","5"
"04/06/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","10"
"04/07/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","13"
"04/08/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","15"
"04/09/2020","49","Ozone","Carson City Armory","32-510-0020","AQS","49","4"
"04/10/2020","49","Ozone","Carson City Armory","32-510-0020","AQS","49","5"
"04/11/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","13"
"04/12/2020","45","Ozone","Carson City Armory","32-510-0020","AQS","45","10"
"04/13/2020","47","Ozone","Carson City Armory","32-510-0020","AQS","47","11"
"04/14/2020","49","Ozone","Carson City Armory","32-510-0020","AQS","49","21"
"04/15/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","15"
"04/16/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","15"
"04/17/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","12"
"04/18/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","18"
"04/19/2020","50","Ozone","Carson City Armory","32-510-0020","AQS","50","18"
"04/20/2020","50","Ozone","Carson City Armory","32-510-0020","AQS","50","16"
"04/21/2020","49","Ozone","Carson City Armory","32-510-0020","AQS","49","17"
"04/22/2020","43","Ozone","Carson City Armory","32-510-0020","AQS","43","18"
"04/23/2020","51","Ozone","Carson City Armory","32-510-0020","AQS","51","15"
"04/24/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","12"
"04/25/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","13"
"04/26/2020","46","Ozone","Carson City Armory","32-510-0020","AQS","46","18"
"04/27/2020","44","Ozone","Carson City Armory","32-510-0020","AQS","44","15"
"04/28/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","13"
"04/29/2020","48","Ozone","Carson City Armory","32-510-0020","AQS","48","15"
"04/30/2020","48","Ozone","Carson City Armory","32-510-0020","AQS","48","13"
"05/01/2020","58","Ozone","Carson City Armory","32-510-0020","AQS","58","13"
"05/02/2020","42","Ozone","Carson City Armory","32-510-0020","AQS","42","19"
"05/03/2020","48","Ozone","Carson City Armory","32-510-0020","AQS","48","10"
"05/04/2020","51","Ozone","Carson City Armory","32-510-0020","AQS","51","10"
"05/05/2020","80","Ozone","Carson City Armory","32-510-0020","AQS","80","13"
"05/06/2020","80","Ozone","Carson City Armory","32-510-0020","AQS","80","12"
"05/07/2020","47","Ozone","Carson City Armory","32-510-0020","AQS","47","11"
"05/08/2020","64","Ozone","Carson City Armory","32-510-0020","AQS","64","18"
"05/09/2020","74","Ozone","Carson City Armory","32-510-0020","AQS","74","22"
"05/10/2020","100","Ozone","Carson City Armory","32-510-0020","AQS","100","30"
"05/11/2020","58","Ozone","Carson City Armory","32-510-0020","AQS","58","21"
"05/12/2020","20","PM2.5","Carson City Armory","32-510-0020","AQS",".","20"
"05/13/2020","39","Ozone","Carson City Armory","32-510-0020","AQS","39","6"
"05/14/2020","32","Ozone","Carson City Armory","32-510-0020","AQS","32","8"
"05/15/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","12"
"05/16/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","16"
"05/17/2020","31","Ozone","Carson City Armory","32-510-0020","AQS","31","13"
"05/18/2020","33","Ozone","Carson City Armory","32-510-0020","AQS","33","9"
"05/19/2020","29","Ozone","Carson City Armory","32-510-0020","AQS","29","6"
"05/20/2020","31","Ozone","Carson City Armory","32-510-0020","AQS","31","11"
"05/21/2020","40","Ozone","Carson City Armory","32-510-0020","AQS","40","15"
"05/22/2020","38","Ozone","Carson City Armory","32-510-0020","AQS","38","13"
"05/23/2020","32","Ozone","Carson City Armory","32-510-0020","AQS","32","6"
"05/24/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","9"
"05/25/2020","34","Ozone","Carson City Armory","32-510-0020","AQS","34","8"
"05/26/2020","22","Ozone","Carson City Armory","32-510-0020","AQS","22","15"
"05/27/2020","27","Ozone","Carson City Armory","32-510-0020","AQS","27","11"
"05/28/2020","30","Ozone","Carson City Armory","32-510-0020","AQS","30","11"
"05/29/2020","31","Ozone","Carson City Armory","32-510-0020","AQS","31","17"
"05/30/2020","35","Ozone","Carson City Armory","32-510-0020","AQS","35","19"
"05/31/2020","32","Ozone","Carson City Armory","32-510-0020","AQS","32","19"
"06/01/2020","34","Ozone","Carson City Armory","32-510-0020","AQS","34","20"
"06/02/2020","32","Ozone","Carson City Armory","32-510-0020","AQS","32","16"
"06/03/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","18"
"06/04/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","19"
"06/05/2020","38","Ozone","Carson City Armory","32-510-0020","AQS","38","18"
"06/06/2020","37","Ozone","Carson City Armory","32-510-0020","AQS","37","16"
"06/07/2020","28","Ozone","Carson City Armory","32-510-0020","AQS","28","13"
"06/08/2020","32","Ozone","Carson City Armory","32-510-0020","AQS","32","10"
"06/09/2020","10","PM2.5","Carson City Armory","32-510-0020","AQS",".","10"
"06/10/2020","16","PM2.5","Carson City Armory","32-510-0020","AQS",".","16"
"06/11/2020","19","PM2.5","Carson City Armory","32-510-0020","AQS",".","19"
"06/12/2020","21","PM2.5","Carson City Armory","32-510-0020","AQS",".","21"
"06/13/2020","6","PM2.5","Carson City Armory","32-510-0020","AQS",".","6"
"06/14/2020","8","PM2.5","Carson City Armory","32-510-0020","AQS",".","8"
"06/15/2020","5","PM2.5","Carson City Armory","32-510-0020","AQS",".","5"
"06/16/2020","8","PM2.5","Carson City Armory","32-510-0020","AQS",".","8"
"06/17/2020","1","PM2.5","Carson City Armory","32-510-0020","AQS",".","1"
