"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AQS","5","30",".","59","15"
"01/02/2020","55","PM2.5","Austin North Interstate 35","48-453-1068","AQS","7","12",".","55","17"
"01/03/2020","30","Ozone","Austin North Hills Drive","48-453-0014","AQS","7","30",".","23","13"
"01/04/2020","35","Ozone","Austin Audubon Society","48-453-0020","AQS","7","35","22","20","34"
"01/05/2020","42","Ozone","Austin North Hills Drive","48-453-0014","AQS","8","42",".","27","35"
"01/06/2020","41","NO2","Austin North Interstate 35","48-453-1068","AQS","8","38",".","34","41"
"01/07/2020","39","NO2","Austin North Interstate 35","48-453-1068","AQS","13","37",".","25","39"
"01/08/2020","44","Ozone","Austin Audubon Society","48-453-0020","AQS","16","44",".","42","32"
"01/09/2020","31","Ozone","Austin North Hills Drive","48-453-0014","AQS","3","31",".","25","14"
"01/10/2020","34","PM2.5","Austin Webberville Rd","48-453-0021","AQS","3","31","19","34","9"
"01/11/2020","27","Ozone","Austin North Hills Drive","48-453-0014","AQS","5","27",".","19","23"
"01/12/2020","36","PM2.5","Austin Webberville Rd","48-453-0021","AQS","7","28",".","36","29"
"01/13/2020","49","PM2.5","Austin North Interstate 35","48-453-1068","AQS","7","12",".","49","18"
"01/14/2020","56","PM2.5","Austin Webberville Rd","48-453-0021","AQS","8","12",".","56","16"
"01/15/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AQS","7","21",".","45","22"
"01/16/2020","29","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","10","11","29","11"
"01/17/2020","25","PM2.5","Austin Webberville Rd","48-453-0021","AQS","5","12",".","25","18"
"01/18/2020","30","Ozone","Austin North Hills Drive","48-453-0014","AQS","5","30",".","23","18"
"01/19/2020","35","Ozone","Austin North Hills Drive","48-453-0014","AQS",".","35",".","8","10"
"01/20/2020","35","Ozone","Austin North Hills Drive","48-453-0014","AQS","2","35",".","22","33"
"01/21/2020","38","Ozone","Austin North Hills Drive","48-453-0014","AQS","2","38",".","28","28"
"01/22/2020","30","Ozone","Austin North Hills Drive","48-453-0014","AQS","2","30","6","27","23"
"01/23/2020","26","PM2.5","Austin Webberville Rd","48-453-0021","AQS","3","25",".","26","23"
"01/24/2020","34","NO2","Austin North Interstate 35","48-453-1068","AQS","3","33",".","33","34"
"01/25/2020","39","PM2.5","Austin Webberville Rd","48-453-0021","AQS","2","35",".","39","25"
"01/26/2020","36","Ozone","Austin Audubon Society","48-453-0020","AQS","1","36",".","28","25"
"01/27/2020","43","PM2.5","Austin North Interstate 35","48-453-1068","AQS","6","31",".","43","23"
"01/28/2020","30","Ozone","Austin North Hills Drive","48-453-0014","AQS","5","30","11","26","19"
"01/29/2020","33","Ozone","Austin North Hills Drive","48-453-0014","AQS","5","33",".","13","18"
"01/30/2020","25","PM2.5","Austin Webberville Rd","48-453-0021","AQS","3","20",".","25","12"
"01/31/2020","31","PM2.5","Austin North Interstate 35","48-453-1068","AQS","5","29",".","31","22"
"02/01/2020","47","PM2.5","Austin North Interstate 35","48-453-1068","AQS","13","36",".","47","28"
"02/02/2020","43","Ozone","Austin North Hills Drive","48-453-0014","AQS","19","43",".","36","31"
"02/03/2020","37","PM2.5","Austin North Interstate 35","48-453-1068","AQS","5","33","19","37","21"
"02/04/2020","40","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","24",".","40","20"
"02/05/2020","25","Ozone","Austin North Hills Drive","48-453-0014","AQS","2","25",".","16","4"
"02/06/2020","35","Ozone","Austin North Hills Drive","48-453-0014","AQS","8","35",".","22","34"
"02/07/2020","37","Ozone","Austin North Hills Drive","48-453-0014","AQS","9","37",".","28","33"
"02/08/2020","37","Ozone","Austin North Hills Drive","48-453-0014","AQS","6","37",".","35","25"
"02/09/2020","33","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","31","16","33","11"
"02/10/2020","48","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","15",".","48","10"
"02/11/2020","22","PM2.5","Austin Webberville Rd","48-453-0021","AQS","3","14",".","22","7"
"02/12/2020","20","PM2.5","Austin North Interstate 35","48-453-1068","AQS","9","19",".","20","15"
"02/13/2020","30","PM2.5","Austin Webberville Rd","48-453-0021","AQS","10","26",".","30","20"
"02/14/2020","35","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","28",".","35","26"
"02/15/2020","57","PM2.5","Austin Webberville Rd","48-453-0021","AQS","8","34","30","57","28"
"02/16/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AQS","9","33",".","54","25"
"02/17/2020","42","PM2.5","Austin Webberville Rd","48-453-0021","AQS","7","28",".","42","22"
"02/18/2020","48","PM2.5","Austin Webberville Rd","48-453-0021","AQS","7","21",".","48","13"
"02/19/2020","22","Ozone","Austin Audubon Society","48-453-0020","AQS","3","22",".","15","9"
"02/20/2020","30","Ozone","Austin Audubon Society","48-453-0020","AQS","3","30",".","10","7"
"02/21/2020","42","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","33","18","42","28"
"02/22/2020","44","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","42",".","44","28"
"02/23/2020","28","Ozone","Austin Audubon Society","48-453-0020","AQS","6","28",".","27","17"
"02/24/2020","35","Ozone","Austin Audubon Society","48-453-0020","AQS","7","35",".","25","29"
"02/25/2020","39","Ozone","Austin Audubon Society","48-453-0020","AQS","10","39",".","25","23"
"02/26/2020","36","Ozone","Austin Audubon Society","48-453-0020","AQS","2","36",".","16","9"
"02/27/2020","42","Ozone","Austin Audubon Society","48-453-0020","AQS","6","42","19","26","37"
"02/28/2020","44","Ozone","Austin Audubon Society","48-453-0020","AQS","8","44",".","34","42"
"02/29/2020","50","Ozone","Austin Audubon Society","48-453-0020","AQS","10","50",".","37","32"
"03/01/2020","35","Ozone","Austin Audubon Society","48-453-0020","AQS","6","35",".","27","19"
"03/02/2020","55","PM2.5","Austin Webberville Rd","48-453-0021","AQS","7","32",".","55","27"
"03/03/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AQS","7","20",".","59","17"
"03/04/2020","31","Ozone","Austin Audubon Society","48-453-0020","AQS","5","31","7","28","13"
"03/05/2020","37","Ozone","Austin Audubon Society","48-453-0020","AQS","8","37",".","28","28"
"03/06/2020","43","Ozone","Austin Audubon Society","48-453-0020","AQS","9","43",".","23","34"
"03/07/2020","45","PM2.5","Austin Webberville Rd","48-453-0021","AQS","6","34",".","45","28"
"03/08/2020","37","Ozone","Austin Audubon Society","48-453-0020","AQS","6","37",".","31","11"
"03/09/2020","35","PM2.5","Austin North Interstate 35","48-453-1068","AQS","7","27",".","35","21"
"03/10/2020","42","PM2.5","Austin North Interstate 35","48-453-1068","AQS","7","28","19","42","25"
"03/11/2020","54","PM2.5","Austin North Interstate 35","48-453-1068","AQS","6","36",".","54","26"
"03/12/2020","45","PM2.5","Austin Webberville Rd","48-453-0021","AQS","5","33",".","45","13"
"03/13/2020","48","PM2.5","Austin North Interstate 35","48-453-1068","AQS","6","31",".","48","16"
"03/14/2020","53","PM2.5","Austin North Interstate 35","48-453-1068","AQS","6","29",".","53","15"
"03/15/2020","31","PM2.5","Austin Webberville Rd","48-453-0021","AQS","5","7",".","31","7"
